onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	3.724	central	ocean	1	21	2	16	1	2	3.724
4.224	2.043	central	forest	3	16	12	21	1	1	2.043
6.767	1.520	boundary2	desert	2	4	2	10	2	2	1.520
8.788	2.240	central	ocean	1	1	8	2	2	1	2.240
11.527	1.697	central	desert	2	6	15	8	2	1	1.697
13.724	2.391	central	forest	3	12	6	15	2	1	2.391
16.615	1.890	boundary2	ocean	1	18	3	15	1	2	1.890
19.005	2.073	central	desert	2	5	7	12	1	1	2.073
21.578	2.330	central	forest	3	15	13	9	1	2	2.330
24.408	2.300	central	ocean	1	20	21	9	1	2	2.300
27.208	2.531	central	ocean	1	21	1	7	1	1	2.531
30.239	2.262	boundary2	forest	3	17	20	11	2	2	2.262
33.001	2.420	central	desert	2	8	9	1	1	1	2.420
35.922	1.774	central	desert	2	6	2	7	2	1	1.774
38.196	3.467	central	ocean	1	2	5	19	2	1	3.467
42.163	2.669	central	forest	3	15	1	16	2	2	2.669
45.332	1.362	boundary1	ocean	1	3	4	21	2	1	1.362
47.194	1.945	boundary1	ocean	1	18	17	2	2	2	1.945
49.640	2.052	central	desert	2	8	13	5	2	1	2.052
52.192	2.114	central	forest	3	12	13	20	1	2	2.114
54.806	2.087	central	ocean	1	20	13	1	2	2	2.087
57.394	1.977	central	desert	2	9	21	5	2	2	1.977
59.870	2.515	central	forest	3	13	2	14	2	2	2.515
62.885	1.840	central	forest	3	16	14	5	1	1	1.840
65.225	1.905	central	desert	2	7	14	9	2	2	1.905
67.630	3.222	boundary1	desert	2	4	3	8	2	1	3.222
71.352	1.797	boundary1	forest	3	11	15	10	1	1	1.797
73.649	2.237	boundary2	desert	2	10	12	4	2	1	2.237
76.387	2.199	central	desert	2	5	20	6	2	2	2.199
79.085	2.216	central	ocean	1	19	14	21	2	2	2.216
81.802	2.088	central	forest	3	13	16	8	1	1	2.088
84.390	2.862	boundary1	forest	3	17	16	18	1	2	2.862
87.752	1.949	central	desert	2	9	6	16	1	1	1.949
90.201	3.119	boundary1	desert	2	10	6	11	1	2	3.119
93.820	3.026	central	ocean	1	2	20	15	1	2	3.026
97.346	2.167	boundary2	forest	3	11	17	9	1	1	2.167
100.013	2.474	central	forest	3	14	19	15	2	2	2.474
102.987	2.993	central	ocean	1	19	20	6	1	2	2.993
106.480	2.383	central	forest	3	14	12	7	1	2	2.383
109.362	2.048	boundary2	ocean	1	3	18	6	1	1	2.048
111.911	2.576	central	ocean	1	1	12	19	2	1	2.576
114.987	3.330	central	desert	2	7	8	19	1	2	3.330
