object	object_type	community	dim1	dim2
1	central	1	8	9
2	central	1	7	9
3	boundary	1	9	3
4	boundary	2	2	4
5	central	2	2	6
6	central	2	8	10
7	central	2	9	2
8	central	2	8	3
9	central	2	1	5
10	boundary	2	3	13
11	boundary	3	3	11
12	central	3	1	4
13	central	3	1	6
14	central	3	3	10
15	central	3	3	6
16	central	3	8	8
17	boundary	3	9	4
18	boundary	1	2	5
19	central	1	3	12
20	central	1	8	2
21	central	1	8	4
