onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	1.456	central	ocean	1	21	13	2	2	2	1.456
1.956	1.493	central	forest	3	12	15	7	1	2	1.493
3.950	2.028	central	desert	2	5	20	6	2	2	2.028
6.478	2.772	central	ocean	1	1	19	16	1	1	2.772
9.751	2.446	central	desert	2	9	6	13	1	1	2.446
12.697	6.364	central	desert	2	7	9	12	1	2	6.364
19.561	4.035	central	forest	3	14	21	15	2	2	4.035
24.095	4.161	central	forest	3	16	2	12	2	2	4.161
28.756	2.848	central	ocean	1	20	15	1	2	2	2.848
32.104	5.157	central	ocean	1	2	20	14	1	1	5.157
37.761	7.539	central	forest	3	13	1	14	2	1	7.539
45.800	4.196	central	desert	2	5	7	16	1	2	4.196
50.497	6.462	central	forest	3	15	5	13	2	1	6.462
57.458	6.480	central	forest	3	12	13	20	1	1	6.480
64.438	1.864	boundary2	desert	2	4	10	20	1	1	1.864
66.803	3.299	central	desert	2	8	19	9	2	2	3.299
70.601	8.000	central	forest	3	14	12	9	1	n/a	n/a
79.101	2.925	central	ocean	1	21	9	1	2	2	2.925
82.526	3.519	central	forest	3	13	16	6	1	2	3.519
86.545	1.504	boundary2	desert	2	10	15	4	2	2	1.504
88.549	2.345	central	ocean	1	2	19	8	1	1	2.345
91.395	2.741	central	ocean	1	19	12	21	2	2	2.741
94.635	2.774	central	forest	3	16	14	8	1	2	2.774
97.910	2.104	boundary1	ocean	1	3	19	4	1	1	2.104
100.513	2.621	boundary2	forest	3	17	19	11	2	2	2.621
103.635	1.847	boundary2	ocean	1	18	3	13	1	1	1.847
105.982	2.749	boundary1	forest	3	11	10	14	2	1	2.749
109.231	6.357	central	desert	2	8	5	15	1	1	6.357
116.089	2.968	central	desert	2	6	8	14	1	1	2.968
119.556	3.659	boundary1	forest	3	17	16	18	1	2	3.659
123.715	3.501	central	ocean	1	19	7	20	2	2	3.501
127.716	3.343	central	desert	2	6	1	7	2	2	3.343
131.559	5.706	central	ocean	1	20	21	5	1	2	5.706
137.765	4.027	boundary2	ocean	1	3	9	18	2	2	4.027
142.293	2.558	boundary2	forest	3	11	17	6	1	1	2.558
145.350	2.776	boundary1	desert	2	10	11	9	2	2	2.776
148.626	2.362	central	forest	3	15	16	19	1	1	2.362
151.488	1.740	boundary1	desert	2	4	3	7	2	2	1.740
153.729	2.904	boundary1	ocean	1	18	20	17	1	2	2.904
157.132	1.988	central	desert	2	9	2	5	2	2	1.988
159.620	1.869	central	ocean	1	1	6	2	2	2	1.869
161.989	1.759	central	desert	2	7	21	8	2	2	1.759
