object	object_type	community	dim1	dim2
1	central	1	5	7
2	central	1	6	7
3	boundary	1	5	6
4	boundary	2	2	8
5	central	2	2	9
6	central	2	1	9
7	central	2	1	7
8	central	2	1	8
9	central	2	1	6
10	boundary	2	2	7
11	boundary	3	2	3
12	central	3	1	1
13	central	3	1	3
14	central	3	3	1
15	central	3	1	2
16	central	3	2	2
17	boundary	3	2	1
18	boundary	1	5	8
19	central	1	5	5
20	central	1	6	5
21	central	1	6	6
