onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	8.000	boundary2	desert	2	10	4	16	1	n/a	n/a
8.500	5.524	boundary1	forest	3	17	18	16	2	1	5.524
14.524	3.906	central	ocean	1	20	12	1	2	1	3.906
18.930	5.232	central	forest	3	16	12	2	1	1	5.232
24.662	3.134	central	desert	2	7	9	16	1	1	3.134
28.296	5.528	central	forest	3	12	15	9	1	2	5.528
34.323	3.625	boundary1	ocean	1	3	4	1	2	2	3.625
38.449	5.720	central	forest	3	15	16	1	1	2	5.720
44.669	5.272	central	ocean	1	21	1	6	1	2	5.272
50.441	5.688	boundary1	desert	2	4	8	3	1	2	5.688
56.629	5.018	boundary2	forest	3	11	17	7	1	2	5.018
62.148	5.222	boundary2	desert	2	4	21	10	2	2	5.222
67.870	3.350	central	forest	3	15	13	8	1	1	3.350
71.721	5.380	central	ocean	1	21	13	2	2	2	5.380
77.600	6.706	central	desert	2	8	9	1	1	2	6.706
84.806	4.814	boundary2	forest	3	17	1	11	2	2	4.814
90.120	4.160	central	ocean	1	19	20	9	1	1	4.160
94.781	3.414	central	desert	2	6	7	19	1	1	3.414
98.694	3.451	central	ocean	1	1	2	7	1	2	3.451
102.646	6.129	central	desert	2	7	21	8	2	2	6.129
109.274	4.459	central	ocean	1	1	14	19	2	1	4.459
114.233	5.497	boundary2	ocean	1	18	3	14	1	2	5.497
120.231	3.709	boundary1	forest	3	11	15	10	1	2	3.709
124.439	5.369	central	desert	2	8	5	12	1	2	5.369
130.308	7.223	central	forest	3	14	21	15	2	2	7.223
138.031	5.885	central	forest	3	16	14	5	1	1	5.885
144.416	5.641	boundary1	desert	2	10	7	11	1	2	5.641
150.557	6.773	central	desert	2	9	2	5	2	2	6.773
157.830	3.240	boundary1	ocean	1	18	17	21	2	1	3.240
161.570	4.040	central	forest	3	13	19	14	2	2	4.040
166.110	4.648	central	ocean	1	2	20	15	1	1	4.648
171.257	5.821	central	forest	3	13	16	7	1	1	5.821
177.578	2.462	central	ocean	1	19	16	21	2	1	2.462
180.540	5.562	central	desert	2	5	14	7	2	1	5.562
186.602	7.619	central	desert	2	5	6	20	1	2	7.619
194.721	5.710	central	ocean	1	20	8	21	2	2	5.710
200.931	4.687	central	forest	3	12	20	13	2	2	4.687
206.118	6.817	central	ocean	1	2	5	19	2	2	6.817
213.435	4.156	central	forest	3	14	6	12	2	2	4.156
218.092	5.488	central	desert	2	9	13	6	2	1	5.488
224.079	7.786	boundary2	ocean	1	3	9	18	2	1	7.786
232.365	8.000	central	desert	2	6	15	8	2	n/a	n/a
