onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	2	8	central	0	n/a
1.500	1.500	structured	structured	2	7	central	0	n/a
3.000	1.500	structured	structured	2	4	boundary	1	0.999
4.500	1.500	structured	structured	2	8	central	1	0.830
6.000	1.500	structured	structured	2	7	central	0	n/a
7.500	1.500	structured	structured	2	10	boundary	1	1.195
9.000	1.500	structured	structured	2	8	central	1	0.949
10.500	1.500	structured	structured	2	9	central	1	1.217
12.000	1.500	structured	structured	2	7	central	0	n/a
13.500	1.500	structured	structured	2	8	central	0	n/a
15.000	1.500	structured	structured	2	4	boundary	1	1.125
16.500	1.500	structured	structured	1	3	boundary	1	1.180
18.000	1.500	structured	structured	1	20	central	0	n/a
19.500	1.500	structured	structured	1	19	central	0	n/a
21.000	1.500	structured	structured	1	3	boundary	0	n/a
22.500	1.500	structured	structured	1	1	central	1	0.846
24.000	1.500	structured	structured	1	3	boundary	0	n/a
25.500	1.500	structured	structured	1	20	central	0	n/a
27.000	1.500	structured	structured	1	19	central	0	n/a
28.500	1.500	structured	structured	1	2	central	1	0.947
30.000	1.500	structured	structured	1	20	central	1	1.488
31.500	1.500	hamiltonian	forward	1	21	central	1	1.031
33.000	1.500	hamiltonian	forward	1	1	central	1	0.910
34.500	1.500	hamiltonian	forward	1	2	central	1	1.326
36.000	1.500	hamiltonian	forward	1	3	boundary	1	1.220
37.500	1.500	hamiltonian	forward	2	4	boundary	1	0.771
39.000	1.500	hamiltonian	forward	2	5	central	1	1.034
40.500	1.500	hamiltonian	forward	2	6	central	1	1.328
42.000	1.500	hamiltonian	forward	2	7	central	0	n/a
43.500	1.500	hamiltonian	forward	2	8	central	0	n/a
45.000	1.500	hamiltonian	forward	2	9	central	0	n/a
46.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
48.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
49.500	1.500	hamiltonian	forward	3	12	central	1	0.817
51.000	1.500	hamiltonian	forward	3	13	central	1	0.994
52.500	1.500	hamiltonian	forward	3	14	central	1	1.104
54.000	1.500	hamiltonian	forward	3	15	central	1	1.353
55.500	1.500	hamiltonian	forward	3	16	central	0	n/a
57.000	1.500	hamiltonian	forward	3	17	boundary	0	n/a
58.500	1.500	hamiltonian	forward	1	18	boundary	1	1.107
60.000	1.500	hamiltonian	forward	1	19	central	1	1.153
61.500	1.500	hamiltonian	forward	1	20	central	0	n/a
63.000	1.500	structured	structured	1	18	boundary	0	n/a
64.500	1.500	structured	structured	1	1	central	1	0.688
66.000	1.500	structured	structured	1	18	boundary	1	0.862
67.500	1.500	structured	structured	1	1	central	1	0.823
69.000	1.500	structured	structured	1	21	central	1	0.262
70.500	1.500	structured	structured	1	18	boundary	1	1.467
72.000	1.500	structured	structured	1	2	central	1	0.818
73.500	1.500	structured	structured	1	21	central	1	0.699
75.000	1.500	structured	structured	1	20	central	1	0.810
76.500	1.500	structured	structured	1	3	boundary	1	0.736
78.000	1.500	structured	structured	1	2	central	1	1.489
79.500	1.500	structured	structured	1	21	central	1	0.031
81.000	1.500	structured	structured	1	19	central	0	n/a
82.500	1.500	structured	structured	1	3	boundary	1	1.497
84.000	1.500	structured	structured	2	4	boundary	1	0.802
85.500	1.500	structured	structured	2	5	central	1	0.761
87.000	1.500	structured	structured	2	6	central	1	0.834
88.500	1.500	structured	structured	2	5	central	1	0.864
90.000	1.500	structured	structured	2	7	central	1	1.160
91.500	1.500	structured	structured	2	5	central	1	1.197
93.000	1.500	structured	structured	2	6	central	1	1.355
94.500	1.500	hamiltonian	backward	2	5	central	1	0.957
96.000	1.500	hamiltonian	backward	2	4	boundary	1	0.890
97.500	1.500	hamiltonian	backward	1	3	boundary	1	1.083
99.000	1.500	hamiltonian	backward	1	2	central	1	0.856
100.500	1.500	hamiltonian	backward	1	1	central	1	0.800
102.000	1.500	hamiltonian	backward	1	21	central	1	0.893
103.500	1.500	hamiltonian	backward	1	20	central	1	1.126
105.000	1.500	hamiltonian	backward	1	19	central	0	n/a
106.500	1.500	hamiltonian	backward	1	18	boundary	0	n/a
108.000	1.500	hamiltonian	backward	3	17	boundary	1	1.063
109.500	1.500	hamiltonian	backward	3	16	central	1	0.999
111.000	1.500	hamiltonian	backward	3	15	central	0	n/a
112.500	1.500	hamiltonian	backward	3	14	central	1	0.805
114.000	1.500	hamiltonian	backward	3	13	central	1	1.035
115.500	1.500	hamiltonian	backward	3	12	central	1	1.496
117.000	1.500	hamiltonian	backward	3	11	boundary	1	1.297
118.500	1.500	hamiltonian	backward	2	10	boundary	0	n/a
120.000	1.500	hamiltonian	backward	2	9	central	1	1.019
121.500	1.500	hamiltonian	backward	2	8	central	0	n/a
