onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	3.247	central	desert	2	5	2	6	2	2	3.247
3.747	2.586	central	desert	2	6	7	20	1	1	2.586
6.833	2.664	central	ocean	1	1	19	16	1	1	2.664
9.997	3.075	central	forest	3	15	16	21	1	2	3.075
13.572	3.771	central	forest	3	14	1	15	2	1	3.771
17.843	3.041	central	ocean	1	2	20	13	1	2	3.041
21.384	3.105	central	ocean	1	19	20	7	1	2	3.105
24.989	2.849	central	forest	3	14	6	12	2	1	2.849
28.338	2.604	central	desert	2	8	9	21	1	2	2.604
31.442	2.970	boundary1	desert	2	10	5	11	1	1	2.970
34.912	2.005	central	forest	3	15	13	9	1	2	2.005
37.416	2.656	boundary2	ocean	1	3	18	6	1	2	2.656
40.573	2.438	boundary1	ocean	1	3	21	4	1	2	2.438
43.510	2.546	boundary2	forest	3	11	8	17	2	1	2.546
46.556	3.116	boundary2	desert	2	10	4	15	1	1	3.116
50.173	5.157	boundary2	desert	2	4	19	10	2	2	5.157
55.830	2.855	boundary2	ocean	1	18	13	3	2	1	2.855
59.185	5.770	central	ocean	1	1	5	2	2	1	5.770
65.455	3.233	boundary1	desert	2	4	3	6	2	1	3.233
69.188	2.491	central	forest	3	12	7	15	2	2	2.491
72.179	3.178	central	desert	2	9	19	5	2	2	3.178
75.856	6.201	central	desert	2	8	5	14	1	1	6.201
82.558	4.571	central	forest	3	12	2	13	2	1	4.571
87.629	5.054	central	desert	2	9	6	15	1	2	5.054
93.183	4.653	central	ocean	1	20	9	21	2	2	4.653
98.336	4.110	central	desert	2	6	13	8	2	1	4.110
102.946	5.513	central	ocean	1	21	1	6	1	1	5.513
108.959	3.928	central	desert	2	7	12	9	2	2	3.928
113.386	2.313	central	forest	3	13	14	20	1	2	2.313
116.199	2.190	central	forest	3	16	14	8	1	2	2.190
118.890	2.732	central	ocean	1	19	12	21	2	2	2.732
122.122	2.153	central	desert	2	7	1	8	2	1	2.153
124.774	2.222	boundary1	forest	3	11	10	14	2	2	2.222
127.497	3.078	boundary1	forest	3	17	18	12	2	1	3.078
131.075	2.179	central	ocean	1	21	2	15	1	2	2.179
133.754	3.293	central	forest	3	13	5	16	2	1	3.293
137.547	5.080	central	ocean	1	20	1	14	1	2	5.080
143.127	3.009	central	desert	2	5	16	7	2	2	3.009
146.637	2.750	central	ocean	1	2	19	8	1	1	2.750
149.887	3.221	central	forest	3	16	19	12	2	2	3.221
153.608	5.219	boundary2	forest	3	17	11	20	1	2	5.219
159.328	2.742	boundary1	ocean	1	18	1	17	1	2	2.742
