object	object_type	community	dim1	dim2
1	central	1	0	11
2	central	1	5	14
3	boundary	1	2	11
4	boundary	2	2	10
5	central	2	2	9
6	central	2	0	13
7	central	2	0	16
8	central	2	0	12
9	central	2	0	17
10	boundary	2	0	18
11	boundary	3	5	12
12	central	3	0	14
13	central	3	5	13
14	central	3	5	15
15	central	3	5	11
16	central	3	2	5
17	boundary	3	0	15
18	boundary	1	2	6
19	central	1	2	7
20	central	1	2	8
21	central	1	0	10
