object	object_type	community	dim1	dim2
1	central	1	4	11
2	central	1	8	14
3	boundary	1	7	14
4	boundary	2	2	4
5	central	2	8	12
6	central	2	4	12
7	central	2	4	3
8	central	2	3	5
9	central	2	2	5
10	boundary	2	3	4
11	boundary	3	3	3
12	central	3	3	12
13	central	3	7	15
14	central	3	7	13
15	central	3	7	4
16	central	3	8	3
17	boundary	3	7	3
18	boundary	1	8	4
19	central	1	8	13
20	central	1	7	5
21	central	1	3	11
