onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	18	boundary	canonical	n/a	n/a
6.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.658
8.000	1.000	structured	1	3	16	central	canonical	canonical	0.567
12.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.714
16.000	1.000	structured	1	3	15	central	canonical	canonical	0.765
22.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.654
26.000	1.000	structured	1	3	12	central	canonical	canonical	0.559
32.000	1.000	structured	1	3	16	central	canonical	canonical	0.707
36.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.619
40.000	1.000	structured	1	3	16	central	rotated	rotated	0.994
44.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.627
48.000	1.000	structured	1	3	16	central	rotated	rotated	0.930
52.000	1.000	structured	1	3	12	central	canonical	canonical	0.789
54.000	1.000	structured	1	3	14	central	canonical	canonical	0.986
58.000	1.000	structured	1	3	15	central	canonical	canonical	0.994
64.000	1.000	structured	1	3	16	central	canonical	canonical	0.935
70.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.755
72.000	1.000	structured	1	3	14	central	canonical	canonical	0.777
76.000	1.000	structured	1	3	13	central	canonical	canonical	0.846
80.000	1.000	structured	1	3	16	central	canonical	canonical	0.585
82.000	1.000	structured	1	3	15	central	canonical	canonical	0.780
88.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.636
92.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.562
98.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.530
102.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.542
108.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.604
114.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.548
118.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.539
120.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.591
124.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.638
126.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.715
130.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.537
136.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.502
140.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.633
146.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.688
148.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.685
150.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.624
152.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.543
154.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.613
156.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.588
158.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.750
162.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.663
168.000	1.000	structured	3	1	2	central	canonical	canonical	0.858
170.000	1.000	structured	3	1	19	central	canonical	canonical	0.990
174.000	1.000	structured	3	1	21	central	canonical	canonical	0.969
178.000	1.000	structured	3	1	19	central	rotated	canonical	0.626
180.000	1.000	structured	3	1	20	central	canonical	canonical	0.983
184.000	1.000	structured	3	1	2	central	canonical	canonical	0.691
190.000	1.000	structured	3	1	3	boundary	canonical	canonical	0.994
192.000	1.000	structured	3	2	4	boundary	canonical	canonical	0.614
194.000	1.000	structured	3	2	6	central	canonical	canonical	0.744
200.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.687
204.000	1.000	structured	3	2	7	central	canonical	canonical	0.880
210.000	1.000	structured	3	2	4	boundary	canonical	canonical	0.665
212.000	1.000	structured	3	2	8	central	canonical	canonical	0.710
214.000	1.000	structured	3	2	9	central	canonical	canonical	0.714
220.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.706
222.000	1.000	structured	3	2	9	central	rotated	canonical	0.645
228.000	1.000	structured	3	2	4	boundary	canonical	canonical	0.782
234.000	1.000	structured	3	2	8	central	canonical	n/a	n/a
240.000	1.000	structured	3	2	6	central	canonical	canonical	0.789
244.000	1.000	structured	3	2	8	central	rotated	canonical	0.846
246.000	1.000	structured	3	2	7	central	canonical	canonical	0.760
252.000	1.000	structured	4	2	8	central	rotated	rotated	0.989
254.000	1.000	structured	4	2	7	central	rotated	rotated	0.938
256.000	1.000	structured	4	2	5	central	canonical	canonical	0.825
258.000	1.000	structured	4	2	6	central	canonical	canonical	0.760
260.000	1.000	structured	4	2	8	central	canonical	canonical	0.997
266.000	1.000	structured	4	2	10	boundary	canonical	canonical	0.824
272.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.730
278.000	1.000	structured	4	3	16	central	canonical	n/a	n/a
282.000	1.000	structured	4	3	12	central	canonical	canonical	0.963
286.000	1.000	structured	4	3	14	central	canonical	canonical	0.806
292.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.811
298.000	1.000	structured	4	2	10	boundary	canonical	canonical	0.956
304.000	1.000	structured	4	2	6	central	canonical	canonical	0.761
310.000	1.000	structured	4	2	10	boundary	rotated	rotated	0.914
316.000	1.000	structured	4	2	8	central	canonical	canonical	0.959
318.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.788
324.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.925
326.000	1.000	structured	4	1	1	central	canonical	canonical	0.706
328.000	1.000	structured	4	1	20	central	canonical	canonical	0.616
334.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.712
338.000	1.000	structured	4	1	19	central	canonical	canonical	0.852
342.000	1.000	scrambled	5	3	11	boundary	canonical	canonical	0.659
344.000	1.000	scrambled	5	1	1	central	canonical	canonical	0.673
350.000	1.000	scrambled	5	1	21	central	canonical	canonical	0.693
352.000	1.000	scrambled	5	1	2	central	canonical	canonical	0.698
354.000	1.000	scrambled	5	2	7	central	canonical	canonical	0.718
356.000	1.000	scrambled	5	2	6	central	canonical	canonical	0.788
360.000	1.000	scrambled	5	3	12	central	canonical	canonical	0.795
364.000	1.000	scrambled	5	1	18	boundary	canonical	canonical	0.797
370.000	1.000	scrambled	5	2	10	boundary	canonical	canonical	0.712
374.000	1.000	scrambled	5	2	5	central	canonical	canonical	0.863
380.000	1.000	scrambled	5	3	15	central	canonical	canonical	0.980
386.000	1.000	scrambled	5	3	16	central	canonical	canonical	0.964
388.000	1.000	scrambled	5	2	4	boundary	canonical	canonical	0.693
390.000	1.000	scrambled	5	3	13	central	canonical	canonical	0.728
396.000	1.000	scrambled	5	3	17	boundary	canonical	canonical	0.692
402.000	1.000	scrambled	5	1	20	central	canonical	canonical	0.589
404.000	1.000	scrambled	5	1	19	central	canonical	canonical	0.638
410.000	1.000	scrambled	5	1	3	boundary	canonical	canonical	0.592
414.000	1.000	scrambled	5	3	14	central	canonical	canonical	0.635
416.000	1.000	scrambled	5	2	9	central	canonical	canonical	0.701
418.000	1.000	scrambled	5	2	8	central	canonical	canonical	0.909
422.000	1.000	structured	6	2	4	boundary	canonical	canonical	0.724
424.000	1.000	structured	6	2	8	central	rotated	rotated	0.995
426.000	1.000	structured	6	2	6	central	canonical	canonical	0.707
432.000	1.000	structured	6	2	10	boundary	canonical	canonical	0.840
434.000	1.000	structured	6	2	6	central	rotated	canonical	0.919
436.000	1.000	structured	6	2	8	central	canonical	n/a	n/a
438.000	1.000	structured	6	2	6	central	rotated	rotated	0.968
444.000	1.000	structured	6	2	4	boundary	canonical	canonical	0.745
448.000	1.000	structured	6	1	3	boundary	canonical	canonical	0.935
452.000	1.000	structured	6	1	2	central	canonical	canonical	0.838
458.000	1.000	structured	6	1	3	boundary	rotated	rotated	0.879
464.000	1.000	structured	6	2	4	boundary	canonical	canonical	0.661
466.000	1.000	structured	6	2	9	central	canonical	canonical	0.713
472.000	1.000	structured	6	2	6	central	canonical	canonical	0.994
476.000	1.000	structured	6	2	5	central	canonical	canonical	0.903
478.000	1.000	structured	6	2	6	central	rotated	rotated	0.825
484.000	1.000	structured	6	2	8	central	canonical	n/a	n/a
490.000	1.000	structured	6	2	10	boundary	canonical	canonical	0.763
496.000	1.000	structured	6	2	6	central	canonical	canonical	0.849
500.000	1.000	structured	6	2	9	central	canonical	canonical	0.968
502.000	1.000	structured	6	2	7	central	canonical	canonical	0.990
508.000	1.000	structured	7	2	4	boundary	canonical	canonical	0.759
512.000	1.000	structured	7	2	9	central	canonical	canonical	0.646
518.000	1.000	structured	7	2	6	central	canonical	canonical	0.686
524.000	1.000	structured	7	2	8	central	canonical	n/a	n/a
528.000	1.000	structured	7	2	4	boundary	canonical	canonical	0.691
530.000	1.000	structured	7	2	8	central	rotated	canonical	0.702
534.000	1.000	structured	7	2	10	boundary	canonical	canonical	0.795
540.000	1.000	structured	7	2	8	central	rotated	rotated	0.993
544.000	1.000	structured	7	2	7	central	canonical	canonical	0.784
548.000	1.000	structured	7	2	5	central	canonical	canonical	0.785
552.000	1.000	structured	7	2	4	boundary	canonical	canonical	0.989
556.000	1.000	structured	7	2	7	central	canonical	canonical	0.725
560.000	1.000	structured	7	2	4	boundary	rotated	rotated	0.876
562.000	1.000	structured	7	2	9	central	canonical	canonical	0.848
564.000	1.000	structured	7	2	6	central	canonical	canonical	0.985
568.000	1.000	structured	7	2	4	boundary	canonical	canonical	0.742
574.000	1.000	structured	7	2	8	central	canonical	rotated	0.995
578.000	1.000	structured	7	2	6	central	canonical	canonical	0.730
582.000	1.000	structured	7	2	5	central	canonical	canonical	0.639
586.000	1.000	structured	7	2	7	central	canonical	canonical	0.709
590.000	1.000	structured	7	2	4	boundary	canonical	canonical	0.777
