onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	3	17	boundary	1	0.093
1.500	1.500	structured	structured	1	18	boundary	0	n/a
3.000	1.500	structured	structured	1	21	central	0	n/a
4.500	1.500	structured	structured	1	20	central	0	n/a
6.000	1.500	structured	structured	1	2	central	0	n/a
7.500	1.500	structured	structured	1	3	boundary	1	1.485
9.000	1.500	structured	structured	1	19	central	1	0.072
10.500	1.500	structured	structured	1	21	central	0	n/a
12.000	1.500	structured	structured	1	20	central	0	n/a
13.500	1.500	structured	structured	1	1	central	0	n/a
15.000	1.500	structured	structured	1	21	central	0	n/a
16.500	1.500	structured	structured	1	3	boundary	1	1.167
18.000	1.500	structured	structured	2	4	boundary	0	n/a
19.500	1.500	structured	structured	2	6	central	0	n/a
21.000	1.500	structured	structured	2	4	boundary	0	n/a
22.500	1.500	structured	structured	2	9	central	0	n/a
24.000	1.500	structured	structured	2	8	central	0	n/a
25.500	1.500	structured	structured	2	7	central	0	n/a
27.000	1.500	structured	structured	2	10	boundary	1	0.975
28.500	1.500	structured	structured	2	9	central	0	n/a
30.000	1.500	structured	structured	2	10	boundary	0	n/a
31.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
33.000	1.500	hamiltonian	forward	3	12	central	1	1.063
34.500	1.500	hamiltonian	forward	3	13	central	0	n/a
36.000	1.500	hamiltonian	forward	3	14	central	0	n/a
37.500	1.500	hamiltonian	forward	3	15	central	0	n/a
39.000	1.500	hamiltonian	forward	3	16	central	1	1.288
40.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
42.000	1.500	hamiltonian	forward	1	18	boundary	0	n/a
43.500	1.500	hamiltonian	forward	1	19	central	1	0.972
45.000	1.500	hamiltonian	forward	1	20	central	0	n/a
46.500	1.500	hamiltonian	forward	1	21	central	1	1.033
48.000	1.500	hamiltonian	forward	1	1	central	1	1.286
49.500	1.500	hamiltonian	forward	1	2	central	0	n/a
51.000	1.500	hamiltonian	forward	1	3	boundary	1	1.424
52.500	1.500	hamiltonian	forward	2	4	boundary	0	n/a
54.000	1.500	hamiltonian	forward	2	5	central	1	1.001
55.500	1.500	hamiltonian	forward	2	6	central	0	n/a
57.000	1.500	hamiltonian	forward	2	7	central	1	1.497
58.500	1.500	hamiltonian	forward	2	8	central	1	0.032
60.000	1.500	hamiltonian	forward	2	9	central	0	n/a
61.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
63.000	1.500	structured	structured	3	11	boundary	1	0.946
64.500	1.500	structured	structured	3	14	central	0	n/a
66.000	1.500	structured	structured	3	12	central	0	n/a
67.500	1.500	structured	structured	3	16	central	1	0.712
69.000	1.500	structured	structured	3	17	boundary	0	n/a
70.500	1.500	structured	structured	3	16	central	0	n/a
72.000	1.500	structured	structured	3	13	central	0	n/a
73.500	1.500	structured	structured	3	11	boundary	1	0.795
75.000	1.500	structured	structured	3	16	central	0	n/a
76.500	1.500	structured	structured	3	15	central	1	1.116
78.000	1.500	structured	structured	3	17	boundary	0	n/a
79.500	1.500	structured	structured	1	18	boundary	0	n/a
81.000	1.500	structured	structured	3	17	boundary	0	n/a
82.500	1.500	structured	structured	3	13	central	1	0.950
84.000	1.500	structured	structured	3	11	boundary	0	n/a
85.500	1.500	structured	structured	3	14	central	1	0.139
87.000	1.500	structured	structured	3	15	central	0	n/a
88.500	1.500	structured	structured	3	16	central	1	1.286
90.000	1.500	structured	structured	3	17	boundary	0	n/a
91.500	1.500	structured	structured	3	14	central	1	0.937
93.000	1.500	structured	structured	3	17	boundary	0	n/a
94.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
96.000	1.500	hamiltonian	forward	1	19	central	1	0.758
97.500	1.500	hamiltonian	forward	1	20	central	0	n/a
99.000	1.500	hamiltonian	forward	1	21	central	1	1.383
100.500	1.500	hamiltonian	forward	1	1	central	0	n/a
102.000	1.500	hamiltonian	forward	1	2	central	0	n/a
103.500	1.500	hamiltonian	forward	1	3	boundary	0	n/a
105.000	1.500	hamiltonian	forward	2	4	boundary	0	n/a
106.500	1.500	hamiltonian	forward	2	5	central	0	n/a
108.000	1.500	hamiltonian	forward	2	6	central	1	1.196
109.500	1.500	hamiltonian	forward	2	7	central	0	n/a
111.000	1.500	hamiltonian	forward	2	8	central	0	n/a
112.500	1.500	hamiltonian	forward	2	9	central	0	n/a
114.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
115.500	1.500	hamiltonian	forward	3	11	boundary	1	1.434
117.000	1.500	hamiltonian	forward	3	12	central	0	n/a
118.500	1.500	hamiltonian	forward	3	13	central	0	n/a
120.000	1.500	hamiltonian	forward	3	14	central	0	n/a
121.500	1.500	hamiltonian	forward	3	15	central	0	n/a
123.000	1.500	hamiltonian	forward	3	16	central	1	0.963
