object	object_type	community	dim1	dim2
1	central	1	1	7
2	central	1	5	6
3	boundary	1	2	1
4	boundary	2	2	0
5	central	2	6	1
6	central	2	6	0
7	central	2	4	3
8	central	2	8	3
9	central	2	8	2
10	boundary	2	6	2
11	boundary	3	0	7
12	central	3	2	7
13	central	3	0	8
14	central	3	0	9
15	central	3	2	9
16	central	3	5	5
17	boundary	3	4	1
18	boundary	1	4	2
19	central	1	2	8
20	central	1	1	8
21	central	1	1	9
