onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	4.182	boundary2	forest	3	17	11	21	1	1	4.182
4.682	4.462	boundary1	ocean	1	3	4	21	2	1	4.462
9.644	4.017	central	ocean	1	19	21	12	1	2	4.017
14.161	1.961	central	forest	3	14	8	12	2	1	1.961
16.622	2.577	boundary2	desert	2	10	4	12	1	1	2.577
19.699	3.886	central	forest	3	14	2	15	2	2	3.886
24.085	2.149	central	desert	2	7	9	12	1	1	2.149
26.734	2.638	central	ocean	1	1	2	9	1	1	2.638
29.872	3.549	central	forest	3	13	14	19	1	2	3.549
33.920	3.449	central	forest	3	15	16	1	1	2	3.449
37.869	2.654	boundary1	desert	2	10	7	11	1	1	2.654
41.023	3.355	boundary2	ocean	1	3	18	8	1	1	3.355
44.879	3.925	central	ocean	1	21	8	1	2	2	3.925
49.304	3.032	central	desert	2	9	6	16	1	1	3.032
52.835	2.697	boundary1	ocean	1	18	2	17	1	2	2.697
56.032	2.455	central	forest	3	12	13	21	1	1	2.455
58.987	4.405	central	desert	2	9	20	5	2	1	4.405
63.892	4.445	central	desert	2	6	8	13	1	2	4.445
68.837	4.198	central	ocean	1	20	1	15	1	1	4.198
73.534	2.810	central	desert	2	5	7	14	1	2	2.810
76.844	2.553	boundary1	desert	2	4	3	9	2	2	2.553
79.897	2.003	central	forest	3	12	5	15	2	1	2.003
82.400	4.404	central	ocean	1	19	5	20	2	2	4.404
87.304	3.761	central	ocean	1	2	6	19	2	1	3.761
91.565	1.851	central	forest	3	16	12	20	1	1	1.851
93.915	3.252	central	ocean	1	20	7	21	2	2	3.252
97.667	2.212	central	forest	3	16	6	14	2	1	2.212
100.379	4.346	central	ocean	1	2	13	20	2	1	4.346
105.225	2.839	boundary1	forest	3	11	10	16	2	1	2.839
108.564	5.718	central	desert	2	8	15	5	2	2	5.718
114.782	5.114	central	forest	3	15	7	13	2	2	5.114
120.395	5.643	boundary2	desert	2	4	2	10	2	2	5.643
126.538	4.347	central	ocean	1	21	2	16	1	2	4.347
131.385	3.044	central	desert	2	7	2	8	2	2	3.044
134.929	6.337	central	forest	3	13	9	16	2	1	6.337
141.766	7.337	boundary2	ocean	1	18	16	3	2	1	7.337
149.604	3.438	central	desert	2	5	6	21	1	1	3.438
153.541	4.071	boundary1	forest	3	17	15	18	1	2	4.071
158.113	3.566	central	desert	2	6	7	19	1	1	3.566
162.179	3.410	central	desert	2	8	1	9	2	1	3.410
166.089	3.073	central	ocean	1	1	19	14	1	2	3.073
169.662	2.413	boundary2	forest	3	11	5	17	2	1	2.413
