object	object_type	community	dim1	dim2
1	central	1	5	8
2	central	1	6	10
3	boundary	1	5	4
4	boundary	2	3	2
5	central	2	5	12
6	central	2	3	8
7	central	2	2	6
8	central	2	6	6
9	central	2	1	4
10	boundary	2	7	4
11	boundary	3	8	10
12	central	3	1	2
13	central	3	7	12
14	central	3	3	12
15	central	3	4	10
16	central	3	2	10
17	boundary	3	1	12
18	boundary	1	3	4
19	central	1	4	6
20	central	1	5	2
21	central	1	1	8
