object	object_type	community	dim1	dim2
1	central	1	9	3
2	central	1	9	1
3	boundary	1	4	2
4	boundary	2	8	15
5	central	2	1	9
6	central	2	1	16
7	central	2	1	17
8	central	2	2	11
9	central	2	1	10
10	boundary	2	2	10
11	boundary	3	8	1
12	central	3	1	1
13	central	3	1	2
14	central	3	8	4
15	central	3	8	3
16	central	3	8	2
17	boundary	3	4	1
18	boundary	1	5	1
19	central	1	9	2
20	central	1	5	2
21	central	1	1	11
