onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	1	2	central	1	1.378
1.500	1.500	structured	structured	1	21	central	1	1.089
3.000	1.500	structured	structured	1	1	central	1	1.065
4.500	1.500	structured	structured	1	19	central	0	n/a
6.000	1.500	structured	structured	1	2	central	0	n/a
7.500	1.500	structured	structured	1	21	central	1	0.820
9.000	1.500	structured	structured	1	18	boundary	1	1.015
10.500	1.500	structured	structured	1	21	central	1	0.787
12.000	1.500	structured	structured	1	2	central	1	1.244
13.500	1.500	structured	structured	1	19	central	0	n/a
15.000	1.500	structured	structured	1	3	boundary	1	0.784
16.500	1.500	structured	structured	2	4	boundary	0	n/a
18.000	1.500	structured	structured	2	5	central	1	0.599
19.500	1.500	structured	structured	2	6	central	1	1.022
21.000	1.500	structured	structured	2	5	central	1	0.981
22.500	1.500	structured	structured	2	9	central	0	n/a
24.000	1.500	structured	structured	2	10	boundary	0	n/a
25.500	1.500	structured	structured	2	9	central	0	n/a
27.000	1.500	structured	structured	2	10	boundary	0	n/a
28.500	1.500	structured	structured	2	6	central	1	0.839
30.000	1.500	structured	structured	2	7	central	1	1.119
31.500	1.500	hamiltonian	backward	2	6	central	1	0.942
33.000	1.500	hamiltonian	backward	2	5	central	0	n/a
34.500	1.500	hamiltonian	backward	2	4	boundary	1	0.243
36.000	1.500	hamiltonian	backward	1	3	boundary	1	0.771
37.500	1.500	hamiltonian	backward	1	2	central	1	1.129
39.000	1.500	hamiltonian	backward	1	1	central	0	n/a
40.500	1.500	hamiltonian	backward	1	21	central	1	0.896
42.000	1.500	hamiltonian	backward	1	20	central	1	0.926
43.500	1.500	hamiltonian	backward	1	19	central	1	1.452
45.000	1.500	hamiltonian	backward	1	18	boundary	1	1.435
46.500	1.500	hamiltonian	backward	3	17	boundary	0	n/a
48.000	1.500	hamiltonian	backward	3	16	central	1	0.947
49.500	1.500	hamiltonian	backward	3	15	central	0	n/a
51.000	1.500	hamiltonian	backward	3	14	central	0	n/a
52.500	1.500	hamiltonian	backward	3	13	central	1	0.768
54.000	1.500	hamiltonian	backward	3	12	central	0	n/a
55.500	1.500	hamiltonian	backward	3	11	boundary	1	1.358
57.000	1.500	hamiltonian	backward	2	10	boundary	1	1.093
58.500	1.500	hamiltonian	backward	2	9	central	0	n/a
60.000	1.500	hamiltonian	backward	2	8	central	0	n/a
61.500	1.500	hamiltonian	backward	2	7	central	1	1.224
63.000	1.500	structured	structured	2	5	central	1	1.056
64.500	1.500	structured	structured	2	9	central	0	n/a
66.000	1.500	structured	structured	2	4	boundary	1	0.862
67.500	1.500	structured	structured	2	7	central	1	1.253
69.000	1.500	structured	structured	2	6	central	0	n/a
70.500	1.500	structured	structured	2	4	boundary	1	1.219
72.000	1.500	structured	structured	2	9	central	1	1.122
73.500	1.500	structured	structured	2	6	central	1	1.010
75.000	1.500	structured	structured	2	8	central	1	0.928
76.500	1.500	structured	structured	2	4	boundary	1	0.773
78.000	1.500	structured	structured	2	8	central	1	0.956
79.500	1.500	structured	structured	2	5	central	1	1.275
81.000	1.500	structured	structured	2	4	boundary	1	1.451
82.500	1.500	structured	structured	2	7	central	0	n/a
84.000	1.500	structured	structured	2	4	boundary	1	1.008
85.500	1.500	structured	structured	2	5	central	1	0.952
