onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	2.812	boundary2	forest	3	11	5	17	2	1	2.812
3.312	3.819	central	forest	3	14	12	5	1	1	3.819
7.631	2.938	central	desert	2	7	8	19	1	1	2.938
11.069	2.854	boundary1	desert	2	10	5	11	1	2	2.854
14.423	1.842	boundary2	ocean	1	3	8	18	2	1	1.842
16.766	2.047	boundary2	desert	2	10	4	12	1	1	2.047
19.312	3.774	central	ocean	1	2	19	6	1	2	3.774
23.586	2.868	central	forest	3	13	14	2	1	1	2.868
26.954	2.179	boundary2	desert	2	4	10	20	1	1	2.179
29.633	1.892	central	desert	2	5	15	7	2	1	1.892
32.025	2.295	central	forest	3	12	9	15	2	2	2.295
34.820	2.556	boundary1	desert	2	4	3	7	2	2	2.556
37.876	3.026	central	ocean	1	20	1	13	1	1	3.026
41.402	2.605	central	desert	2	9	20	5	2	1	2.605
44.507	1.781	central	ocean	1	21	5	1	2	2	1.781
46.788	2.578	central	ocean	1	1	7	2	2	1	2.578
49.867	1.954	central	forest	3	13	7	16	2	1	1.954
52.320	3.603	central	forest	3	15	13	8	1	2	3.603
56.423	2.006	central	desert	2	9	6	14	1	1	2.006
58.928	2.722	central	desert	2	6	7	2	1	2	2.722
62.150	1.591	boundary2	ocean	1	18	3	15	1	1	1.591
64.241	3.735	boundary2	forest	3	17	19	11	2	1	3.735
68.476	4.664	central	ocean	1	1	15	19	2	2	4.664
73.640	1.805	boundary1	forest	3	17	18	13	2	2	1.805
75.945	1.608	central	ocean	1	19	12	21	2	1	1.608
78.053	2.380	central	forest	3	16	20	12	2	1	2.380
80.934	1.347	boundary1	ocean	1	3	20	4	1	1	1.347
82.781	1.664	central	forest	3	16	14	6	1	2	1.664
84.945	2.124	central	desert	2	6	8	16	1	1	2.124
87.568	1.184	boundary1	ocean	1	18	2	17	1	2	1.184
89.252	1.248	central	forest	3	15	16	21	1	2	1.248
91.000	0.968	central	desert	2	8	13	5	2	1	0.968
92.468	0.737	central	desert	2	7	12	9	2	2	0.737
93.704	0.916	central	ocean	1	2	16	20	2	2	0.916
95.121	1.184	central	ocean	1	20	21	8	1	2	1.184
96.805	1.129	central	desert	2	5	6	1	1	1	1.129
98.434	1.927	central	forest	3	12	1	13	2	1	1.927
100.861	2.026	central	desert	2	8	9	21	1	2	2.026
103.386	1.998	central	forest	3	14	19	15	2	2	1.998
105.884	1.114	central	ocean	1	21	14	2	2	2	1.114
107.498	0.623	boundary1	forest	3	11	10	16	2	1	0.623
108.622	0.830	central	ocean	1	19	20	9	1	1	0.830
