onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	3	15	central	canonical	n/a	n/a
6.000	1.000	structured	1	3	13	central	canonical	canonical	0.988
8.000	1.000	structured	1	3	14	central	canonical	canonical	0.988
12.000	1.000	structured	1	3	15	central	canonical	canonical	0.802
16.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.715
20.000	1.000	structured	1	3	12	central	canonical	canonical	0.726
24.000	1.000	structured	1	3	16	central	canonical	canonical	0.781
28.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.764
30.000	1.000	structured	1	3	15	central	canonical	canonical	0.729
34.000	1.000	structured	1	3	13	central	canonical	canonical	0.750
38.000	1.000	structured	1	3	16	central	canonical	canonical	0.984
44.000	1.000	structured	1	3	13	central	rotated	rotated	0.992
46.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.695
52.000	1.000	structured	1	3	15	central	canonical	canonical	0.659
54.000	1.000	structured	1	3	12	central	canonical	canonical	0.956
58.000	1.000	structured	1	3	14	central	canonical	canonical	0.816
62.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.667
68.000	1.000	structured	1	3	16	central	canonical	canonical	0.838
74.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.727
80.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.756
84.000	1.000	structured	1	2	6	central	canonical	canonical	0.857
90.000	1.000	structured	2	2	10	boundary	rotated	rotated	0.988
92.000	1.000	structured	2	2	9	central	canonical	canonical	0.951
94.000	1.000	structured	2	2	10	boundary	rotated	rotated	0.991
96.000	1.000	structured	2	2	9	central	rotated	rotated	0.960
102.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.800
106.000	1.000	structured	2	2	6	central	canonical	canonical	0.779
110.000	1.000	structured	2	2	9	central	canonical	canonical	0.804
116.000	1.000	structured	2	2	7	central	canonical	canonical	0.745
120.000	1.000	structured	2	2	6	central	canonical	canonical	0.694
122.000	1.000	structured	2	2	5	central	canonical	canonical	0.760
128.000	1.000	structured	2	2	9	central	canonical	canonical	0.827
130.000	1.000	structured	2	2	5	central	rotated	rotated	0.993
136.000	1.000	structured	2	2	8	central	canonical	canonical	0.983
138.000	1.000	structured	2	2	9	central	canonical	canonical	0.689
144.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.771
148.000	1.000	structured	2	2	5	central	canonical	canonical	0.702
154.000	1.000	structured	2	2	6	central	canonical	canonical	0.823
158.000	1.000	structured	2	2	9	central	canonical	canonical	0.768
160.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.799
164.000	1.000	structured	2	2	6	central	canonical	canonical	0.824
168.000	1.000	structured	2	2	10	boundary	rotated	n/a	n/a
170.000	1.000	scrambled	3	3	17	boundary	canonical	canonical	0.707
176.000	1.000	scrambled	3	2	10	boundary	rotated	canonical	0.991
180.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.994
186.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.777
192.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.673
198.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.818
200.000	1.000	scrambled	3	1	2	central	canonical	n/a	n/a
202.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.681
204.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.667
206.000	1.000	scrambled	3	3	16	central	canonical	canonical	0.644
208.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.802
212.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.673
216.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.723
222.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.790
226.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.894
232.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.672
234.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.682
236.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.661
242.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.989
246.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.708
248.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.809
250.000	1.000	structured	4	1	19	central	canonical	canonical	0.652
254.000	1.000	structured	4	1	2	central	canonical	canonical	0.731
256.000	1.000	structured	4	1	1	central	canonical	canonical	0.766
260.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.693
266.000	1.000	structured	4	1	1	central	rotated	rotated	0.999
272.000	1.000	structured	4	1	2	central	canonical	canonical	0.971
