object	object_type	community	dim1	dim2
1	central	1	6	12
2	central	1	5	12
3	boundary	1	5	9
4	boundary	2	1	14
5	central	2	1	15
6	central	2	1	16
7	central	2	2	16
8	central	2	2	15
9	central	2	2	14
10	boundary	2	1	17
11	boundary	3	5	15
12	central	3	5	14
13	central	3	5	13
14	central	3	6	13
15	central	3	6	8
16	central	3	5	10
17	boundary	3	5	8
18	boundary	1	6	7
19	central	1	6	9
20	central	1	6	14
21	central	1	6	10
