onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	2	8	central	0	n/a
1.500	1.500	structured	structured	2	4	boundary	0	n/a
3.000	1.500	structured	structured	2	5	central	0	n/a
4.500	1.500	structured	structured	2	7	central	0	n/a
6.000	1.500	structured	structured	2	9	central	0	n/a
7.500	1.500	structured	structured	2	5	central	0	n/a
9.000	1.500	structured	structured	2	4	boundary	0	n/a
10.500	1.500	structured	structured	2	7	central	0	n/a
12.000	1.500	structured	structured	2	5	central	0	n/a
13.500	1.500	structured	structured	2	6	central	1	1.383
15.000	1.500	structured	structured	2	8	central	0	n/a
16.500	1.500	structured	structured	2	9	central	0	n/a
18.000	1.500	structured	structured	2	6	central	0	n/a
19.500	1.500	structured	structured	2	5	central	0	n/a
21.000	1.500	structured	structured	2	6	central	1	0.572
22.500	1.500	structured	structured	2	10	boundary	1	0.827
24.000	1.500	structured	structured	2	9	central	0	n/a
25.500	1.500	structured	structured	2	5	central	0	n/a
27.000	1.500	structured	structured	2	7	central	1	1.248
28.500	1.500	structured	structured	2	6	central	1	0.673
30.000	1.500	structured	structured	2	10	boundary	1	0.646
31.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
33.000	1.500	hamiltonian	forward	3	12	central	0	n/a
34.500	1.500	hamiltonian	forward	3	13	central	1	0.605
36.000	1.500	hamiltonian	forward	3	14	central	0	n/a
37.500	1.500	hamiltonian	forward	3	15	central	0	n/a
39.000	1.500	hamiltonian	forward	3	16	central	1	0.652
40.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
42.000	1.500	hamiltonian	forward	1	18	boundary	1	0.717
43.500	1.500	hamiltonian	forward	1	19	central	0	n/a
45.000	1.500	hamiltonian	forward	1	20	central	0	n/a
46.500	1.500	hamiltonian	forward	1	21	central	0	n/a
48.000	1.500	hamiltonian	forward	1	1	central	0	n/a
49.500	1.500	hamiltonian	forward	1	2	central	0	n/a
51.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
52.500	1.500	hamiltonian	forward	2	4	boundary	0	n/a
54.000	1.500	hamiltonian	forward	2	5	central	0	n/a
55.500	1.500	hamiltonian	forward	2	6	central	1	0.685
57.000	1.500	hamiltonian	forward	2	7	central	1	0.841
58.500	1.500	hamiltonian	forward	2	8	central	0	n/a
60.000	1.500	hamiltonian	forward	2	9	central	0	n/a
61.500	1.500	hamiltonian	forward	2	10	boundary	1	0.769
63.000	1.500	structured	structured	2	5	central	0	n/a
64.500	1.500	structured	structured	2	7	central	1	0.738
66.000	1.500	structured	structured	2	4	boundary	0	n/a
67.500	1.500	structured	structured	2	5	central	0	n/a
69.000	1.500	structured	structured	2	8	central	0	n/a
70.500	1.500	structured	structured	2	6	central	1	0.729
72.000	1.500	structured	structured	2	10	boundary	1	0.692
73.500	1.500	structured	structured	2	9	central	0	n/a
75.000	1.500	structured	structured	2	5	central	0	n/a
76.500	1.500	structured	structured	2	7	central	1	0.810
78.000	1.500	structured	structured	2	8	central	0	n/a
79.500	1.500	structured	structured	2	10	boundary	1	0.671
81.000	1.500	structured	structured	3	11	boundary	0	n/a
82.500	1.500	structured	structured	3	15	central	0	n/a
84.000	1.500	structured	structured	3	14	central	0	n/a
85.500	1.500	structured	structured	3	13	central	1	0.740
87.000	1.500	structured	structured	3	15	central	0	n/a
88.500	1.500	structured	structured	3	11	boundary	0	n/a
90.000	1.500	structured	structured	3	16	central	1	0.601
91.500	1.500	structured	structured	3	15	central	0	n/a
93.000	1.500	structured	structured	3	11	boundary	0	n/a
94.500	1.500	hamiltonian	forward	3	12	central	0	n/a
96.000	1.500	hamiltonian	forward	3	13	central	1	0.596
97.500	1.500	hamiltonian	forward	3	14	central	0	n/a
99.000	1.500	hamiltonian	forward	3	15	central	0	n/a
100.500	1.500	hamiltonian	forward	3	16	central	1	0.657
102.000	1.500	hamiltonian	forward	3	17	boundary	0	n/a
103.500	1.500	hamiltonian	forward	1	18	boundary	1	0.953
105.000	1.500	hamiltonian	forward	1	19	central	0	n/a
106.500	1.500	hamiltonian	forward	1	20	central	0	n/a
108.000	1.500	hamiltonian	forward	1	21	central	0	n/a
109.500	1.500	hamiltonian	forward	1	1	central	0	n/a
111.000	1.500	hamiltonian	forward	1	2	central	0	n/a
112.500	1.500	hamiltonian	forward	1	3	boundary	0	n/a
114.000	1.500	hamiltonian	forward	2	4	boundary	0	n/a
115.500	1.500	hamiltonian	forward	2	5	central	0	n/a
117.000	1.500	hamiltonian	forward	2	6	central	1	0.756
118.500	1.500	hamiltonian	forward	2	7	central	0	n/a
120.000	1.500	hamiltonian	forward	2	8	central	0	n/a
121.500	1.500	hamiltonian	forward	2	9	central	0	n/a
123.000	1.500	hamiltonian	forward	2	10	boundary	1	0.968
124.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
126.000	1.500	structured	structured	3	16	central	1	0.696
127.500	1.500	structured	structured	3	11	boundary	0	n/a
129.000	1.500	structured	structured	3	14	central	0	n/a
130.500	1.500	structured	structured	3	16	central	1	0.698
132.000	1.500	structured	structured	3	13	central	1	0.844
133.500	1.500	structured	structured	3	11	boundary	0	n/a
135.000	1.500	structured	structured	3	16	central	1	0.647
136.500	1.500	structured	structured	3	15	central	0	n/a
138.000	1.500	structured	structured	3	12	central	0	n/a
139.500	1.500	structured	structured	3	16	central	1	0.674
141.000	1.500	structured	structured	3	12	central	0	n/a
142.500	1.500	structured	structured	3	11	boundary	0	n/a
144.000	1.500	structured	structured	3	16	central	1	0.793
145.500	1.500	structured	structured	3	14	central	0	n/a
147.000	1.500	structured	structured	3	12	central	0	n/a
148.500	1.500	structured	structured	3	13	central	1	0.697
150.000	1.500	structured	structured	3	11	boundary	0	n/a
151.500	1.500	structured	structured	3	12	central	0	n/a
153.000	1.500	structured	structured	3	13	central	1	0.671
154.500	1.500	structured	structured	3	17	boundary	0	n/a
156.000	1.500	structured	structured	3	12	central	0	n/a
157.500	1.500	hamiltonian	forward	3	13	central	1	0.709
159.000	1.500	hamiltonian	forward	3	14	central	0	n/a
160.500	1.500	hamiltonian	forward	3	15	central	0	n/a
162.000	1.500	hamiltonian	forward	3	16	central	1	0.671
163.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
165.000	1.500	hamiltonian	forward	1	18	boundary	1	0.857
166.500	1.500	hamiltonian	forward	1	19	central	0	n/a
168.000	1.500	hamiltonian	forward	1	20	central	1	0.849
169.500	1.500	hamiltonian	forward	1	21	central	0	n/a
171.000	1.500	hamiltonian	forward	1	1	central	0	n/a
172.500	1.500	hamiltonian	forward	1	2	central	0	n/a
174.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
175.500	1.500	hamiltonian	forward	2	4	boundary	0	n/a
177.000	1.500	hamiltonian	forward	2	5	central	0	n/a
178.500	1.500	hamiltonian	forward	2	6	central	1	0.687
180.000	1.500	hamiltonian	forward	2	7	central	1	0.874
181.500	1.500	hamiltonian	forward	2	8	central	0	n/a
183.000	1.500	hamiltonian	forward	2	9	central	0	n/a
184.500	1.500	hamiltonian	forward	2	10	boundary	1	0.682
186.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
187.500	1.500	hamiltonian	forward	3	12	central	0	n/a
189.000	1.500	structured	structured	3	17	boundary	0	n/a
190.500	1.500	structured	structured	3	12	central	0	n/a
192.000	1.500	structured	structured	3	13	central	1	0.736
193.500	1.500	structured	structured	3	11	boundary	0	n/a
195.000	1.500	structured	structured	3	15	central	0	n/a
196.500	1.500	structured	structured	3	17	boundary	0	n/a
198.000	1.500	structured	structured	3	12	central	0	n/a
199.500	1.500	structured	structured	3	11	boundary	0	n/a
201.000	1.500	structured	structured	3	16	central	1	0.620
202.500	1.500	structured	structured	3	14	central	0	n/a
204.000	1.500	structured	structured	3	15	central	0	n/a
205.500	1.500	structured	structured	3	14	central	0	n/a
207.000	1.500	structured	structured	3	13	central	1	0.619
208.500	1.500	structured	structured	3	16	central	1	0.637
210.000	1.500	structured	structured	3	11	boundary	0	n/a
211.500	1.500	structured	structured	2	10	boundary	1	0.688
213.000	1.500	structured	structured	2	5	central	0	n/a
214.500	1.500	structured	structured	2	7	central	1	0.725
216.000	1.500	structured	structured	2	6	central	1	0.655
217.500	1.500	structured	structured	2	9	central	0	n/a
219.000	1.500	structured	structured	2	5	central	0	n/a
220.500	1.500	hamiltonian	forward	2	6	central	1	0.633
222.000	1.500	hamiltonian	forward	2	7	central	1	0.629
223.500	1.500	hamiltonian	forward	2	8	central	0	n/a
