object	object_type	community	dim1	dim2
1	central	1	2	18
2	central	1	1	18
3	boundary	1	3	18
4	boundary	2	4	16
5	central	2	6	16
6	central	2	0	16
7	central	2	2	16
8	central	2	5	16
9	central	2	3	16
10	boundary	2	6	14
11	boundary	3	1	14
12	central	3	3	14
13	central	3	1	16
14	central	3	0	14
15	central	3	2	14
16	central	3	5	14
17	boundary	3	4	14
18	boundary	1	5	18
19	central	1	0	18
20	central	1	6	18
21	central	1	4	18
