object	object_type	community	dim1	dim2
1	central	1	1	11
2	central	1	5	10
3	boundary	1	9	8
4	boundary	2	5	7
5	central	2	0	1
6	central	2	1	9
7	central	2	5	9
8	central	2	2	1
9	central	2	0	0
10	boundary	2	1	10
11	boundary	3	5	11
12	central	3	1	1
13	central	3	9	9
14	central	3	5	8
15	central	3	9	5
16	central	3	9	6
17	boundary	3	9	7
18	boundary	1	1	0
19	central	1	1	7
20	central	1	1	6
21	central	1	1	8
