object	object_type	community	dim1	dim2
1	central	1	0	4
2	central	1	0	5
3	boundary	1	0	6
4	boundary	2	0	7
5	central	2	0	8
6	central	2	0	9
7	central	2	0	10
8	central	2	0	12
9	central	2	0	11
10	boundary	2	0	15
11	boundary	3	0	13
12	central	3	0	16
13	central	3	0	14
14	central	3	0	18
15	central	3	0	17
16	central	3	1	0
17	boundary	3	1	1
18	boundary	1	0	0
19	central	1	0	1
20	central	1	0	2
21	central	1	0	3
