onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	3	11	boundary	0	n/a
1.500	1.500	structured	structured	3	14	central	0	n/a
3.000	1.500	structured	structured	3	16	central	1	1.241
4.500	1.500	structured	structured	3	12	central	0	n/a
6.000	1.500	structured	structured	3	15	central	0	n/a
7.500	1.500	structured	structured	3	16	central	0	n/a
9.000	1.500	structured	structured	3	11	boundary	1	1.115
10.500	1.500	structured	structured	3	12	central	0	n/a
12.000	1.500	structured	structured	3	14	central	0	n/a
13.500	1.500	structured	structured	3	11	boundary	1	0.869
15.000	1.500	structured	structured	3	15	central	0	n/a
16.500	1.500	structured	structured	3	16	central	1	1.483
18.000	1.500	structured	structured	3	15	central	1	0.077
19.500	1.500	structured	structured	3	12	central	0	n/a
21.000	1.500	structured	structured	3	16	central	1	0.976
22.500	1.500	structured	structured	3	15	central	1	0.734
24.000	1.500	structured	structured	3	11	boundary	1	0.964
25.500	1.500	structured	structured	2	10	boundary	0	n/a
27.000	1.500	structured	structured	2	9	central	0	n/a
28.500	1.500	structured	structured	2	7	central	0	n/a
30.000	1.500	structured	structured	2	10	boundary	1	0.891
31.500	1.500	hamiltonian	backward	2	9	central	0	n/a
33.000	1.500	hamiltonian	backward	2	8	central	0	n/a
34.500	1.500	hamiltonian	backward	2	7	central	0	n/a
36.000	1.500	hamiltonian	backward	2	6	central	0	n/a
37.500	1.500	hamiltonian	backward	2	5	central	0	n/a
39.000	1.500	hamiltonian	backward	2	4	boundary	0	n/a
40.500	1.500	hamiltonian	backward	1	3	boundary	0	n/a
42.000	1.500	hamiltonian	backward	1	2	central	0	n/a
43.500	1.500	hamiltonian	backward	1	1	central	0	n/a
45.000	1.500	hamiltonian	backward	1	21	central	0	n/a
46.500	1.500	hamiltonian	backward	1	20	central	0	n/a
48.000	1.500	hamiltonian	backward	1	19	central	0	n/a
49.500	1.500	hamiltonian	backward	1	18	boundary	0	n/a
51.000	1.500	hamiltonian	backward	3	17	boundary	1	1.489
