onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	8.000	central	ocean	1	1	2	8	1	n/a	n/a
8.500	2.879	central	forest	3	13	14	2	1	1	2.879
11.879	4.404	central	forest	3	16	14	9	1	1	4.404
16.783	3.661	central	desert	2	9	12	6	2	2	3.661
20.944	2.153	boundary2	ocean	1	18	12	3	2	2	2.153
23.597	1.841	central	desert	2	5	15	7	2	1	1.841
25.938	6.675	central	ocean	1	19	5	20	2	1	6.675
33.113	3.143	central	ocean	1	2	13	20	2	1	3.143
36.755	2.173	central	forest	3	14	12	6	1	1	2.173
39.428	3.539	central	desert	2	7	20	8	2	1	3.539
43.467	3.206	boundary2	forest	3	11	6	17	2	2	3.206
47.173	3.663	central	forest	3	12	15	5	1	1	3.663
51.336	5.551	central	desert	2	5	19	6	2	2	5.551
57.387	3.680	central	forest	3	15	7	13	2	1	3.680
61.567	3.529	central	desert	2	6	2	7	2	2	3.529
65.596	3.839	central	desert	2	9	5	21	1	1	3.839
69.934	5.784	central	ocean	1	2	19	9	1	2	5.784
76.219	2.121	boundary1	desert	2	10	7	11	1	2	2.121
78.840	2.684	boundary1	forest	3	11	10	16	2	1	2.684
82.024	4.150	boundary1	forest	3	17	15	18	1	2	4.150
86.674	3.320	boundary1	desert	2	4	3	5	2	2	3.320
90.494	4.838	boundary1	ocean	1	3	2	4	1	2	4.838
95.833	3.811	central	forest	3	12	13	19	1	2	3.811
100.144	5.014	central	desert	2	6	13	8	2	2	5.014
105.658	2.073	central	forest	3	15	1	16	2	1	2.073
108.231	5.767	central	ocean	1	20	21	7	1	1	5.767
114.497	2.738	central	forest	3	14	15	20	1	1	2.738
117.735	3.840	central	ocean	1	1	19	15	1	2	3.840
122.076	3.614	central	ocean	1	21	6	1	2	1	3.614
126.190	4.682	central	desert	2	8	9	1	1	2	4.682
131.373	2.599	central	forest	3	13	8	16	2	2	2.599
134.472	6.205	boundary2	ocean	1	3	18	9	1	1	6.205
141.176	5.911	central	desert	2	8	14	5	2	2	5.911
147.587	5.586	boundary2	desert	2	4	10	19	1	1	5.586
153.673	5.657	central	ocean	1	21	2	12	1	1	5.657
159.830	3.526	central	ocean	1	19	16	21	2	1	3.526
163.856	4.257	boundary2	desert	2	10	15	4	2	2	4.257
168.613	7.453	central	desert	2	7	9	16	1	2	7.453
176.566	3.659	central	ocean	1	20	1	14	1	2	3.659
180.725	2.772	boundary2	forest	3	17	11	21	1	1	2.772
183.997	5.073	boundary1	ocean	1	18	17	20	2	2	5.073
189.570	6.155	central	forest	3	16	21	12	2	1	6.155
