onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.688
8.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.739
10.000	1.000	structured	1	2	5	central	canonical	canonical	0.725
14.000	1.000	structured	1	2	9	central	canonical	canonical	0.836
20.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.599
26.000	1.000	structured	1	2	7	central	canonical	canonical	0.632
28.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.594
30.000	1.000	structured	1	2	6	central	canonical	canonical	0.508
32.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.559
34.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.586
40.000	1.000	structured	1	1	19	central	canonical	canonical	0.844
42.000	1.000	structured	1	1	1	central	canonical	canonical	0.731
44.000	1.000	structured	1	1	21	central	canonical	canonical	0.590
50.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.593
56.000	1.000	structured	1	1	1	central	canonical	canonical	0.588
62.000	1.000	structured	1	1	21	central	canonical	canonical	0.591
66.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.594
68.000	1.000	structured	1	1	20	central	canonical	canonical	0.641
72.000	1.000	structured	1	1	3	boundary	rotated	rotated	0.716
74.000	1.000	structured	1	1	21	central	canonical	canonical	0.559
78.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.612
84.000	1.000	structured	2	1	1	central	canonical	canonical	0.620
88.000	1.000	structured	2	1	20	central	canonical	canonical	0.589
94.000	1.000	structured	2	1	1	central	rotated	rotated	0.694
96.000	1.000	structured	2	1	21	central	canonical	canonical	0.592
98.000	1.000	structured	2	1	2	central	canonical	canonical	0.676
102.000	1.000	structured	2	1	18	boundary	canonical	canonical	0.686
104.000	1.000	structured	2	1	20	central	canonical	canonical	0.548
110.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.587
116.000	1.000	structured	2	1	20	central	rotated	rotated	0.844
122.000	1.000	structured	2	1	3	boundary	rotated	rotated	0.764
126.000	1.000	structured	2	1	1	central	canonical	canonical	0.693
130.000	1.000	structured	2	1	21	central	canonical	canonical	0.656
132.000	1.000	structured	2	1	20	central	canonical	canonical	0.623
138.000	1.000	structured	2	1	21	central	rotated	rotated	0.681
140.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.634
144.000	1.000	structured	2	1	20	central	canonical	canonical	0.646
150.000	1.000	structured	2	1	21	central	canonical	canonical	0.670
156.000	1.000	structured	2	1	18	boundary	canonical	canonical	0.660
158.000	1.000	structured	2	1	21	central	rotated	rotated	0.672
162.000	1.000	structured	2	1	1	central	canonical	canonical	0.630
168.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.682
170.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.611
174.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.604
176.000	1.000	scrambled	3	3	17	boundary	canonical	canonical	0.732
182.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.650
186.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.684
190.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.614
196.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.796
198.000	1.000	scrambled	3	2	10	boundary	canonical	canonical	0.582
202.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.637
204.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.636
206.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.620
212.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.612
214.000	1.000	scrambled	3	3	16	central	canonical	canonical	0.549
216.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.631
220.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.595
222.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.589
224.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.589
230.000	1.000	scrambled	3	1	2	central	canonical	canonical	0.606
236.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.656
240.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.632
244.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.584
250.000	1.000	structured	4	2	8	central	canonical	canonical	0.703
254.000	1.000	structured	4	2	9	central	canonical	canonical	0.592
258.000	1.000	structured	4	2	5	central	canonical	canonical	0.502
260.000	1.000	structured	4	2	8	central	canonical	canonical	0.604
264.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.553
270.000	1.000	structured	4	2	9	central	canonical	canonical	0.538
274.000	1.000	structured	4	2	6	central	canonical	canonical	0.728
276.000	1.000	structured	4	2	8	central	canonical	canonical	0.541
282.000	1.000	structured	4	2	6	central	rotated	canonical	0.444
284.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.686
288.000	1.000	structured	4	2	8	central	canonical	canonical	0.671
