object	object_type	community	dim1	dim2
1	central	1	1	8
2	central	1	7	8
3	boundary	1	1	9
4	boundary	2	1	3
5	central	2	2	16
6	central	2	2	15
7	central	2	7	10
8	central	2	2	14
9	central	2	1	4
10	boundary	2	2	17
11	boundary	3	7	11
12	central	3	1	1
13	central	3	1	2
14	central	3	5	3
15	central	3	7	12
16	central	3	5	5
17	boundary	3	5	6
18	boundary	1	5	4
19	central	1	7	9
20	central	1	1	11
21	central	1	1	10
