object	object_type	community	dim1	dim2
1	central	1	5	2
2	central	1	6	2
3	boundary	1	5	3
4	boundary	2	2	7
5	central	2	10	6
6	central	2	6	3
7	central	2	1	6
8	central	2	6	1
9	central	2	1	5
10	boundary	2	10	8
11	boundary	3	9	8
12	central	3	1	7
13	central	3	9	5
14	central	3	10	7
15	central	3	10	5
16	central	3	2	6
17	boundary	3	9	7
18	boundary	1	2	5
19	central	1	9	6
20	central	1	5	1
21	central	1	5	4
