onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	2.637	boundary1	forest	3	17	14	18	1	1	2.637
3.137	2.589	central	desert	2	8	14	5	2	1	2.589
6.226	2.510	central	forest	3	15	1	16	2	2	2.510
9.235	2.173	central	forest	3	13	16	9	1	2	2.173
11.909	1.919	central	ocean	1	21	2	13	1	1	1.919
14.327	2.607	central	forest	3	15	13	5	1	1	2.607
17.435	1.628	central	ocean	1	2	15	20	2	2	1.628
19.563	3.617	central	ocean	1	19	12	21	2	2	3.617
23.680	1.593	central	desert	2	7	2	8	2	1	1.593
25.773	2.100	central	ocean	1	21	1	6	1	1	2.100
28.372	1.750	boundary2	ocean	1	18	16	3	2	2	1.750
30.622	2.295	central	forest	3	12	19	13	2	1	2.295
33.417	1.803	central	ocean	1	20	5	21	2	2	1.803
35.720	2.356	central	forest	3	14	2	15	2	2	2.356
38.576	2.365	central	desert	2	9	5	20	1	1	2.365
41.441	2.154	central	desert	2	5	7	16	1	1	2.154
44.095	1.876	central	ocean	1	1	9	2	2	2	1.876
46.471	1.976	boundary2	desert	2	10	15	4	2	2	1.976
48.947	3.715	boundary1	desert	2	4	3	6	2	2	3.715
53.162	3.900	boundary2	ocean	1	3	18	6	1	1	3.900
57.563	2.453	central	forest	3	14	6	12	2	1	2.453
60.516	2.347	boundary1	forest	3	11	16	10	1	2	2.347
63.363	3.518	central	ocean	1	20	1	14	1	1	3.518
67.382	2.235	central	forest	3	16	7	14	2	2	2.235
70.116	2.738	central	forest	3	13	14	21	1	1	2.738
73.354	2.782	central	desert	2	6	7	21	1	1	2.782
76.636	3.673	central	ocean	1	1	19	16	1	1	3.673
80.809	2.678	boundary1	desert	2	10	8	11	1	2	2.678
83.988	2.835	boundary1	ocean	1	18	17	20	2	2	2.835
87.322	4.818	central	desert	2	9	6	13	1	1	4.818
92.641	2.382	central	desert	2	7	9	12	1	1	2.382
95.522	2.858	boundary2	forest	3	11	9	17	2	2	2.858
98.880	3.763	boundary2	forest	3	17	11	19	1	1	3.763
103.143	3.142	central	desert	2	8	1	9	2	2	3.142
106.785	2.427	central	forest	3	16	12	20	1	1	2.427
109.712	2.283	boundary2	desert	2	4	10	20	1	1	2.283
112.494	2.143	central	ocean	1	19	20	8	1	1	2.143
115.137	3.766	central	ocean	1	2	7	19	2	2	3.766
119.404	4.006	central	forest	3	12	15	8	1	1	4.006
123.910	5.549	central	desert	2	6	15	8	2	2	5.549
129.959	4.071	central	desert	2	5	19	6	2	2	4.071
134.530	4.394	boundary1	ocean	1	3	4	1	2	1	4.394
