object	object_type	community	dim1	dim2
1	central	1	3	12
2	central	1	3	13
3	boundary	1	5	1
4	boundary	2	5	0
5	central	2	6	0
6	central	2	6	1
7	central	2	3	7
8	central	2	3	8
9	central	2	2	8
10	boundary	2	6	10
11	boundary	3	6	11
12	central	3	5	11
13	central	3	5	10
14	central	3	6	6
15	central	3	5	6
16	central	3	5	5
17	boundary	3	6	5
18	boundary	1	5	16
19	central	1	2	7
20	central	1	6	15
21	central	1	5	15
