object	object_type	community	dim1	dim2
1	central	1	8	14
2	central	1	5	14
3	boundary	1	5	12
4	boundary	2	8	13
5	central	2	8	12
6	central	2	2	15
7	central	2	8	5
8	central	2	8	3
9	central	2	8	2
10	boundary	2	2	14
11	boundary	3	2	13
12	central	3	2	12
13	central	3	5	13
14	central	3	5	15
15	central	3	5	4
16	central	3	5	3
17	boundary	3	5	5
18	boundary	1	8	4
19	central	1	5	8
20	central	1	5	7
21	central	1	5	9
