onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	3	11	boundary	0	n/a
1.500	1.500	structured	structured	3	12	central	0	n/a
3.000	1.500	structured	structured	3	17	boundary	1	1.047
4.500	1.500	structured	structured	3	16	central	0	n/a
6.000	1.500	structured	structured	3	12	central	0	n/a
7.500	1.500	structured	structured	3	17	boundary	1	1.106
9.000	1.500	structured	structured	3	14	central	0	n/a
10.500	1.500	structured	structured	3	17	boundary	0	n/a
12.000	1.500	structured	structured	3	15	central	0	n/a
13.500	1.500	structured	structured	3	12	central	1	0.945
15.000	1.500	structured	structured	3	15	central	0	n/a
16.500	1.500	structured	structured	3	11	boundary	0	n/a
18.000	1.500	structured	structured	3	15	central	1	1.133
19.500	1.500	structured	structured	3	17	boundary	0	n/a
21.000	1.500	structured	structured	1	18	boundary	0	n/a
22.500	1.500	structured	structured	1	19	central	1	0.937
24.000	1.500	structured	structured	1	3	boundary	0	n/a
25.500	1.500	structured	structured	1	1	central	0	n/a
27.000	1.500	structured	structured	1	3	boundary	1	1.017
28.500	1.500	structured	structured	2	4	boundary	0	n/a
30.000	1.500	structured	structured	2	5	central	0	n/a
31.500	1.500	hamiltonian	forward	2	6	central	1	0.834
33.000	1.500	hamiltonian	forward	2	7	central	0	n/a
34.500	1.500	hamiltonian	forward	2	8	central	0	n/a
36.000	1.500	hamiltonian	forward	2	9	central	1	1.182
37.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
39.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
40.500	1.500	hamiltonian	forward	3	12	central	1	1.149
42.000	1.500	hamiltonian	forward	3	13	central	0	n/a
43.500	1.500	hamiltonian	forward	3	14	central	0	n/a
45.000	1.500	hamiltonian	forward	3	15	central	1	1.077
46.500	1.500	hamiltonian	forward	3	16	central	0	n/a
48.000	1.500	hamiltonian	forward	3	17	boundary	0	n/a
49.500	1.500	hamiltonian	forward	1	18	boundary	1	1.154
51.000	1.500	hamiltonian	forward	1	19	central	0	n/a
52.500	1.500	hamiltonian	forward	1	20	central	0	n/a
54.000	1.500	hamiltonian	forward	1	21	central	1	1.048
55.500	1.500	hamiltonian	forward	1	1	central	0	n/a
57.000	1.500	hamiltonian	forward	1	2	central	0	n/a
58.500	1.500	hamiltonian	forward	1	3	boundary	1	0.996
60.000	1.500	hamiltonian	forward	2	4	boundary	0	n/a
61.500	1.500	hamiltonian	forward	2	5	central	0	n/a
63.000	1.500	structured	structured	2	10	boundary	1	0.951
64.500	1.500	structured	structured	2	8	central	0	n/a
66.000	1.500	structured	structured	2	6	central	0	n/a
67.500	1.500	structured	structured	2	7	central	1	1.036
69.000	1.500	structured	structured	2	9	central	0	n/a
70.500	1.500	structured	structured	2	10	boundary	0	n/a
72.000	1.500	structured	structured	2	7	central	1	1.121
73.500	1.500	structured	structured	2	9	central	0	n/a
75.000	1.500	structured	structured	2	8	central	0	n/a
76.500	1.500	structured	structured	2	5	central	1	0.902
78.000	1.500	structured	structured	2	9	central	0	n/a
79.500	1.500	structured	structured	2	7	central	0	n/a
81.000	1.500	structured	structured	2	6	central	1	0.936
82.500	1.500	structured	structured	2	5	central	0	n/a
84.000	1.500	structured	structured	2	8	central	0	n/a
85.500	1.500	structured	structured	2	7	central	1	0.818
87.000	1.500	structured	structured	2	4	boundary	0	n/a
88.500	1.500	structured	structured	2	7	central	0	n/a
90.000	1.500	structured	structured	2	10	boundary	1	1.004
91.500	1.500	structured	structured	2	7	central	0	n/a
93.000	1.500	structured	structured	2	5	central	0	n/a
94.500	1.500	hamiltonian	forward	2	6	central	1	1.029
96.000	1.500	hamiltonian	forward	2	7	central	0	n/a
97.500	1.500	hamiltonian	forward	2	8	central	0	n/a
99.000	1.500	hamiltonian	forward	2	9	central	1	0.908
100.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
102.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
103.500	1.500	hamiltonian	forward	3	12	central	1	0.849
105.000	1.500	hamiltonian	forward	3	13	central	0	n/a
106.500	1.500	hamiltonian	forward	3	14	central	0	n/a
108.000	1.500	hamiltonian	forward	3	15	central	1	1.084
109.500	1.500	hamiltonian	forward	3	16	central	0	n/a
111.000	1.500	hamiltonian	forward	3	17	boundary	0	n/a
112.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
114.000	1.500	hamiltonian	forward	1	19	central	1	0.531
115.500	1.500	hamiltonian	forward	1	20	central	0	n/a
117.000	1.500	hamiltonian	forward	1	21	central	0	n/a
118.500	1.500	hamiltonian	forward	1	1	central	1	0.564
120.000	1.500	hamiltonian	forward	1	2	central	0	n/a
121.500	1.500	hamiltonian	forward	1	3	boundary	1	0.973
123.000	1.500	hamiltonian	forward	2	4	boundary	0	n/a
124.500	1.500	hamiltonian	forward	2	5	central	1	1.034
126.000	1.500	structured	structured	2	9	central	0	n/a
127.500	1.500	structured	structured	2	6	central	0	n/a
129.000	1.500	structured	structured	2	5	central	1	0.929
130.500	1.500	structured	structured	2	10	boundary	0	n/a
132.000	1.500	structured	structured	2	6	central	0	n/a
133.500	1.500	structured	structured	2	7	central	1	1.136
135.000	1.500	structured	structured	2	5	central	0	n/a
136.500	1.500	structured	structured	2	7	central	0	n/a
138.000	1.500	structured	structured	2	5	central	1	0.958
139.500	1.500	structured	structured	2	9	central	0	n/a
141.000	1.500	structured	structured	2	4	boundary	0	n/a
142.500	1.500	structured	structured	2	5	central	1	1.163
144.000	1.500	structured	structured	2	8	central	0	n/a
145.500	1.500	structured	structured	2	10	boundary	0	n/a
147.000	1.500	structured	structured	2	7	central	1	0.879
148.500	1.500	structured	structured	2	4	boundary	0	n/a
150.000	1.500	structured	structured	2	9	central	0	n/a
151.500	1.500	structured	structured	2	8	central	1	1.084
153.000	1.500	structured	structured	2	9	central	0	n/a
154.500	1.500	structured	structured	2	5	central	0	n/a
156.000	1.500	structured	structured	2	6	central	1	1.174
157.500	1.500	hamiltonian	forward	2	7	central	0	n/a
159.000	1.500	hamiltonian	forward	2	8	central	0	n/a
160.500	1.500	hamiltonian	forward	2	9	central	0	n/a
162.000	1.500	hamiltonian	forward	2	10	boundary	1	0.691
163.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
165.000	1.500	hamiltonian	forward	3	12	central	0	n/a
166.500	1.500	hamiltonian	forward	3	13	central	1	0.791
168.000	1.500	hamiltonian	forward	3	14	central	0	n/a
169.500	1.500	hamiltonian	forward	3	15	central	0	n/a
171.000	1.500	hamiltonian	forward	3	16	central	0	n/a
172.500	1.500	hamiltonian	forward	3	17	boundary	1	0.745
174.000	1.500	hamiltonian	forward	1	18	boundary	0	n/a
175.500	1.500	hamiltonian	forward	1	19	central	0	n/a
177.000	1.500	hamiltonian	forward	1	20	central	1	1.131
178.500	1.500	hamiltonian	forward	1	21	central	0	n/a
180.000	1.500	hamiltonian	forward	1	1	central	0	n/a
181.500	1.500	hamiltonian	forward	1	2	central	1	1.086
183.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
184.500	1.500	hamiltonian	forward	2	4	boundary	0	n/a
186.000	1.500	hamiltonian	forward	2	5	central	1	1.055
187.500	1.500	hamiltonian	forward	2	6	central	0	n/a
189.000	1.500	structured	structured	2	10	boundary	0	n/a
190.500	1.500	structured	structured	2	9	central	1	0.887
192.000	1.500	structured	structured	2	8	central	0	n/a
193.500	1.500	structured	structured	2	10	boundary	0	n/a
195.000	1.500	structured	structured	2	6	central	1	1.122
196.500	1.500	structured	structured	2	10	boundary	0	n/a
198.000	1.500	structured	structured	2	7	central	0	n/a
199.500	1.500	structured	structured	2	10	boundary	1	1.083
201.000	1.500	structured	structured	3	11	boundary	0	n/a
202.500	1.500	structured	structured	3	14	central	0	n/a
204.000	1.500	structured	structured	3	11	boundary	1	1.205
205.500	1.500	structured	structured	3	16	central	0	n/a
207.000	1.500	structured	structured	3	13	central	0	n/a
208.500	1.500	structured	structured	3	14	central	0	n/a
210.000	1.500	structured	structured	3	16	central	0	n/a
211.500	1.500	structured	structured	3	14	central	1	0.256
213.000	1.500	structured	structured	3	16	central	0	n/a
214.500	1.500	structured	structured	3	17	boundary	0	n/a
216.000	1.500	structured	structured	3	14	central	0	n/a
217.500	1.500	structured	structured	3	11	boundary	1	0.630
219.000	1.500	structured	structured	2	10	boundary	0	n/a
220.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
222.000	1.500	hamiltonian	forward	3	12	central	1	1.092
223.500	1.500	hamiltonian	forward	3	13	central	0	n/a
225.000	1.500	hamiltonian	forward	3	14	central	0	n/a
226.500	1.500	hamiltonian	forward	3	15	central	0	n/a
228.000	1.500	hamiltonian	forward	3	16	central	0	n/a
229.500	1.500	hamiltonian	forward	3	17	boundary	1	0.575
231.000	1.500	hamiltonian	forward	1	18	boundary	0	n/a
232.500	1.500	hamiltonian	forward	1	19	central	0	n/a
234.000	1.500	hamiltonian	forward	1	20	central	0	n/a
235.500	1.500	hamiltonian	forward	1	21	central	0	n/a
237.000	1.500	hamiltonian	forward	1	1	central	1	0.430
238.500	1.500	hamiltonian	forward	1	2	central	0	n/a
240.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
241.500	1.500	hamiltonian	forward	2	4	boundary	1	0.788
243.000	1.500	hamiltonian	forward	2	5	central	0	n/a
244.500	1.500	hamiltonian	forward	2	6	central	0	n/a
246.000	1.500	hamiltonian	forward	2	7	central	1	0.926
247.500	1.500	hamiltonian	forward	2	8	central	0	n/a
249.000	1.500	hamiltonian	forward	2	9	central	0	n/a
250.500	1.500	hamiltonian	forward	2	10	boundary	1	1.182
252.000	1.500	structured	structured	2	6	central	0	n/a
253.500	1.500	structured	structured	2	5	central	0	n/a
255.000	1.500	structured	structured	2	6	central	1	1.093
256.500	1.500	structured	structured	2	8	central	0	n/a
258.000	1.500	structured	structured	2	7	central	0	n/a
259.500	1.500	structured	structured	2	5	central	1	1.222
261.000	1.500	structured	structured	2	4	boundary	0	n/a
262.500	1.500	structured	structured	2	7	central	0	n/a
264.000	1.500	structured	structured	2	9	central	1	1.115
