onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	8.000	central	ocean	1	2	12	20	2	n/a	n/a
8.500	0.006	central	desert	2	9	15	6	2	2	0.006
9.006	4.244	central	ocean	1	19	21	14	1	1	4.244
13.751	2.937	boundary1	forest	3	17	15	18	1	1	2.937
17.187	3.669	central	desert	2	5	13	7	2	2	3.669
21.357	3.250	central	desert	2	7	14	9	2	2	3.250
25.107	4.057	boundary2	forest	3	17	2	11	2	1	4.057
29.664	3.008	central	ocean	1	20	21	5	1	1	3.008
33.172	2.870	central	forest	3	13	14	21	1	1	2.870
36.542	3.402	central	ocean	1	21	7	1	2	2	3.402
40.445	5.256	boundary1	ocean	1	18	1	17	1	1	5.256
46.201	3.926	central	desert	2	6	7	21	1	1	3.926
50.626	3.938	central	ocean	1	21	15	2	2	2	3.938
55.064	5.088	central	desert	2	5	6	20	1	1	5.088
60.652	4.387	boundary1	ocean	1	3	4	19	2	2	4.387
65.539	2.937	central	forest	3	14	12	7	1	1	2.937
68.976	6.303	central	forest	3	14	1	15	2	2	6.303
75.779	3.767	boundary2	ocean	1	3	18	7	1	2	3.767
80.046	4.499	boundary1	desert	2	10	11	8	2	2	4.499
85.045	5.619	boundary2	desert	2	10	4	13	1	1	5.619
91.164	7.262	central	forest	3	12	13	20	1	1	7.262
98.926	5.870	central	desert	2	7	1	8	2	1	5.870
105.296	2.867	central	forest	3	13	16	6	1	1	2.867
108.663	3.830	boundary2	forest	3	11	5	17	2	2	3.830
112.993	3.155	central	ocean	1	1	19	13	1	1	3.155
116.648	3.425	central	ocean	1	1	6	2	2	2	3.425
120.573	4.832	central	desert	2	8	16	5	2	2	4.832
125.906	5.959	boundary1	desert	2	4	3	7	2	1	5.959
132.365	3.476	central	forest	3	15	13	5	1	1	3.476
136.341	4.411	central	desert	2	9	5	19	1	2	4.411
141.252	4.376	central	ocean	1	2	9	19	2	1	4.376
146.127	5.728	boundary2	ocean	1	18	15	3	2	2	5.728
152.356	4.765	central	forest	3	15	16	2	1	1	4.765
157.621	2.805	central	forest	3	16	9	14	2	2	2.805
160.926	4.822	central	ocean	1	19	8	20	2	2	4.822
166.248	6.196	central	desert	2	8	9	2	1	2	6.196
172.945	3.151	central	desert	2	6	12	8	2	2	3.151
176.595	6.371	central	forest	3	12	15	8	1	1	6.371
183.467	3.687	central	ocean	1	20	16	1	2	2	3.687
187.654	5.863	central	forest	3	16	12	19	1	1	5.863
194.017	6.121	boundary1	forest	3	11	13	10	1	1	6.121
200.637	5.697	boundary2	desert	2	4	10	1	1	2	5.697
