object	object_type	community	dim1	dim2
1	central	1	6	8
2	central	1	7	16
3	boundary	1	7	15
4	boundary	2	8	15
5	central	2	2	5
6	central	2	5	8
7	central	2	8	5
8	central	2	1	6
9	central	2	1	5
10	boundary	2	6	9
11	boundary	3	2	9
12	central	3	1	9
13	central	3	5	13
14	central	3	5	14
15	central	3	4	14
16	central	3	1	10
17	boundary	3	9	4
18	boundary	1	8	4
19	central	1	5	5
20	central	1	5	4
21	central	1	6	4
