object	object_type	community	dim1	dim2
1	central	1	5	6
2	central	1	1	14
3	boundary	1	7	14
4	boundary	2	5	4
5	central	2	1	5
6	central	2	7	11
7	central	2	7	10
8	central	2	1	12
9	central	2	1	3
10	boundary	2	7	12
11	boundary	3	7	13
12	central	3	1	1
13	central	3	9	4
14	central	3	1	2
15	central	3	1	10
16	central	3	5	5
17	boundary	3	7	15
18	boundary	1	1	13
19	central	1	5	7
20	central	1	1	4
21	central	1	1	11
