onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	1	central	canonical	canonical	0.858
6.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.915
12.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.786
18.000	1.000	structured	1	3	15	central	canonical	canonical	0.628
22.000	1.000	structured	1	3	13	central	canonical	canonical	0.618
24.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.708
30.000	1.000	structured	1	3	14	central	canonical	canonical	0.719
32.000	1.000	structured	1	3	11	boundary	rotated	rotated	0.831
34.000	1.000	structured	1	3	15	central	canonical	canonical	0.664
40.000	1.000	structured	1	3	13	central	canonical	canonical	0.750
44.000	1.000	structured	1	3	12	central	canonical	canonical	0.672
48.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.693
52.000	1.000	structured	1	3	15	central	canonical	canonical	0.647
54.000	1.000	structured	1	3	12	central	canonical	canonical	0.678
58.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.731
64.000	1.000	structured	1	3	14	central	canonical	canonical	0.694
66.000	1.000	structured	1	3	15	central	canonical	canonical	0.736
68.000	1.000	structured	1	3	12	central	canonical	canonical	0.722
74.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.653
80.000	1.000	structured	1	3	16	central	canonical	canonical	0.774
84.000	1.000	structured	1	3	14	central	canonical	canonical	0.777
90.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.763
96.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.949
100.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.637
102.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.691
108.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.615
110.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.688
112.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.725
118.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.608
124.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.709
126.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.840
132.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.699
134.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.665
136.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.684
142.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.690
148.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.643
150.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.776
154.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.659
158.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.719
160.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.609
166.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.609
170.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.655
176.000	1.000	structured	3	1	21	central	canonical	canonical	0.887
182.000	1.000	structured	3	1	19	central	canonical	canonical	0.714
188.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.700
190.000	1.000	structured	3	1	20	central	canonical	canonical	0.643
194.000	1.000	structured	3	1	18	boundary	rotated	rotated	0.720
196.000	1.000	structured	3	3	17	boundary	canonical	canonical	0.663
202.000	1.000	structured	3	3	16	central	canonical	canonical	0.627
208.000	1.000	structured	3	3	13	central	canonical	canonical	0.609
212.000	1.000	structured	3	3	12	central	canonical	canonical	0.609
218.000	1.000	structured	3	3	11	boundary	canonical	canonical	0.816
220.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.707
222.000	1.000	structured	3	2	6	central	canonical	canonical	0.714
224.000	1.000	structured	3	2	7	central	canonical	canonical	0.616
230.000	1.000	structured	3	2	9	central	canonical	canonical	0.738
236.000	1.000	structured	3	2	7	central	rotated	rotated	0.727
238.000	1.000	structured	3	2	5	central	canonical	canonical	0.678
244.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.825
248.000	1.000	structured	3	2	7	central	canonical	canonical	0.737
250.000	1.000	structured	3	2	8	central	canonical	canonical	0.756
252.000	1.000	structured	3	2	7	central	rotated	rotated	0.679
256.000	1.000	structured	3	2	9	central	canonical	canonical	0.591
258.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.710
262.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.623
266.000	1.000	structured	4	1	19	central	canonical	canonical	0.675
270.000	1.000	structured	4	1	2	central	canonical	canonical	0.670
272.000	1.000	structured	4	1	20	central	canonical	canonical	0.921
276.000	1.000	structured	4	1	19	central	canonical	canonical	0.629
280.000	1.000	structured	4	1	21	central	canonical	canonical	0.703
282.000	1.000	structured	4	1	2	central	canonical	canonical	0.665
288.000	1.000	structured	4	1	20	central	canonical	canonical	0.633
290.000	1.000	structured	4	1	2	central	rotated	rotated	0.853
294.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.635
298.000	1.000	structured	4	1	19	central	canonical	canonical	0.688
304.000	1.000	structured	4	1	1	central	canonical	canonical	0.728
310.000	1.000	structured	4	1	2	central	canonical	canonical	0.779
314.000	1.000	structured	4	1	1	central	rotated	rotated	0.993
320.000	1.000	structured	4	1	21	central	canonical	canonical	0.867
326.000	1.000	structured	4	1	19	central	canonical	canonical	0.656
330.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.673
336.000	1.000	structured	4	1	2	central	canonical	canonical	0.708
342.000	1.000	structured	4	1	20	central	canonical	canonical	0.626
