object	object_type	community	dim1	dim2
1	central	1	6	18
2	central	1	8	1
3	boundary	1	6	5
4	boundary	2	4	3
5	central	2	2	11
6	central	2	5	6
7	central	2	2	10
8	central	2	8	17
9	central	2	5	17
10	boundary	2	5	18
11	boundary	3	6	17
12	central	3	7	18
13	central	3	2	6
14	central	3	3	6
15	central	3	2	7
16	central	3	5	5
17	boundary	3	6	6
18	boundary	1	3	3
19	central	1	3	7
20	central	1	7	1
21	central	1	7	17
