onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	6.719	central	desert	2	7	8	21	1	1	6.719
7.219	8.000	boundary2	forest	3	11	5	17	2	n/a	n/a
15.719	0.044	central	ocean	1	20	9	21	2	2	0.044
16.263	4.650	central	desert	2	7	14	9	2	1	4.650
21.413	3.879	boundary2	ocean	1	3	18	7	1	1	3.879
25.792	4.017	boundary1	desert	2	4	3	8	2	1	4.017
30.309	4.182	central	ocean	1	1	12	19	2	1	4.182
34.992	3.281	central	ocean	1	1	5	2	2	1	3.281
38.772	4.702	central	forest	3	14	8	12	2	1	4.702
43.974	3.371	central	desert	2	6	2	7	2	2	3.371
47.845	2.722	boundary1	ocean	1	18	19	17	1	2	2.722
51.067	2.925	central	ocean	1	2	19	6	1	1	2.925
54.493	3.625	boundary2	forest	3	17	11	20	1	2	3.625
58.617	4.236	boundary2	desert	2	4	10	2	1	1	4.236
63.353	4.526	boundary1	desert	2	10	6	11	1	1	4.526
68.380	4.733	boundary1	forest	3	17	15	18	1	1	4.733
73.612	2.680	central	desert	2	8	5	16	1	2	2.680
76.792	2.319	central	forest	3	16	14	6	1	1	2.319
79.612	4.888	central	forest	3	15	13	9	1	1	4.888
84.999	4.322	central	ocean	1	2	20	15	1	1	4.322
89.822	2.050	boundary2	ocean	1	18	15	3	2	2	2.050
92.372	2.673	central	forest	3	12	13	20	1	1	2.673
95.544	2.659	central	forest	3	12	7	15	2	2	2.659
98.704	2.236	central	ocean	1	19	14	21	2	2	2.236
101.440	5.241	central	desert	2	6	15	8	2	1	5.241
107.180	3.519	central	forest	3	13	2	14	2	2	3.519
111.199	4.469	central	ocean	1	20	1	16	1	1	4.469
116.168	8.000	central	desert	2	5	20	6	2	n/a	n/a
124.668	0.106	central	desert	2	5	12	7	2	1	0.106
125.274	4.675	boundary1	forest	3	11	10	13	2	2	4.675
130.450	3.564	central	desert	2	8	9	1	1	1	3.564
134.514	3.879	central	desert	2	9	19	5	2	2	3.879
138.894	3.300	central	forest	3	15	16	1	1	1	3.300
142.694	2.285	central	ocean	1	19	20	7	1	1	2.285
145.479	1.891	central	ocean	1	21	1	8	1	2	1.891
147.869	2.602	central	forest	3	13	5	16	2	2	2.602
150.972	2.747	central	forest	3	16	19	12	2	1	2.747
154.218	2.932	boundary2	desert	2	10	16	4	2	2	2.932
157.650	2.456	central	desert	2	9	6	13	1	2	2.456
160.606	1.589	central	ocean	1	21	2	13	1	1	1.589
162.695	1.618	central	forest	3	14	15	21	1	1	1.618
164.812	2.538	boundary1	ocean	1	3	4	20	2	2	2.538
