object	object_type	community	dim1	dim2
1	central	1	6	8
2	central	1	6	6
3	boundary	1	2	15
4	boundary	2	10	3
5	central	2	10	2
6	central	2	5	7
7	central	2	10	1
8	central	2	5	8
9	central	2	9	3
10	boundary	2	9	1
11	boundary	3	2	13
12	central	3	2	16
13	central	3	5	9
14	central	3	6	7
15	central	3	5	6
16	central	3	1	15
17	boundary	3	1	16
18	boundary	1	9	2
19	central	1	2	14
20	central	1	1	13
21	central	1	1	14
