object	object_type	community	dim1	dim2
1	central	1	1	8
2	central	1	10	2
3	boundary	1	10	3
4	boundary	2	10	1
5	central	2	1	18
6	central	2	1	17
7	central	2	2	9
8	central	2	1	16
9	central	2	1	9
10	boundary	2	0	17
11	boundary	3	1	10
12	central	3	2	10
13	central	3	2	17
14	central	3	2	18
15	central	3	0	16
16	central	3	2	16
17	boundary	3	2	11
18	boundary	1	2	8
19	central	1	10	4
20	central	1	10	0
21	central	1	0	18
