onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	8.000	central	forest	3	14	2	15	2	n/a	n/a
8.500	2.978	central	desert	2	7	16	9	2	1	2.978
11.978	2.752	central	desert	2	5	7	15	1	1	2.752
15.230	2.250	central	ocean	1	1	9	2	2	2	2.250
17.980	3.056	central	forest	3	16	8	14	2	2	3.056
21.536	2.969	central	forest	3	16	1	12	2	2	2.969
25.004	4.473	central	desert	2	9	6	14	1	1	4.473
29.977	3.405	boundary2	desert	2	4	21	10	2	2	3.405
33.883	4.750	central	forest	3	15	5	13	2	2	4.750
39.133	3.769	central	desert	2	5	6	19	1	2	3.769
43.401	4.131	central	ocean	1	20	1	12	1	1	4.131
48.032	2.520	central	forest	3	12	6	15	2	1	2.520
51.052	3.559	boundary2	ocean	1	18	16	3	2	2	3.559
55.111	5.986	boundary2	desert	2	10	14	4	2	2	5.986
61.598	3.708	central	ocean	1	21	2	14	1	1	3.708
65.806	2.627	boundary2	ocean	1	3	18	6	1	1	2.627
68.932	2.229	central	forest	3	14	12	7	1	1	2.229
71.661	2.708	boundary2	forest	3	17	11	20	1	2	2.708
74.869	1.633	boundary1	ocean	1	18	17	1	2	2	1.633
77.002	1.681	central	ocean	1	2	19	8	1	1	1.681
79.183	4.343	central	forest	3	12	19	13	2	2	4.343
84.026	4.203	central	desert	2	9	1	5	2	2	4.203
88.729	3.876	boundary1	ocean	1	3	4	20	2	1	3.876
93.106	2.727	central	desert	2	6	8	13	1	1	2.727
96.332	2.785	central	ocean	1	2	13	20	2	2	2.785
99.617	3.731	central	forest	3	13	16	9	1	1	3.731
103.848	2.930	central	ocean	1	1	19	15	1	2	2.930
107.277	7.483	central	forest	3	15	20	16	2	2	7.483
115.261	3.979	central	desert	2	8	9	20	1	2	3.979
119.740	4.496	central	desert	2	7	8	2	1	1	4.496
124.736	4.508	boundary1	forest	3	17	14	18	1	1	4.508
129.744	2.590	central	ocean	1	21	7	1	2	2	2.590
132.834	1.694	boundary1	desert	2	10	8	11	1	1	1.694
135.028	4.046	central	desert	2	6	21	7	2	2	4.046
139.574	3.542	central	forest	3	13	14	21	1	2	3.542
143.616	5.244	boundary1	forest	3	11	10	16	2	2	5.244
149.360	2.258	central	ocean	1	19	16	21	2	1	2.258
152.118	1.735	central	desert	2	8	12	5	2	2	1.735
154.352	2.949	central	ocean	1	19	20	6	1	2	2.949
157.801	2.761	boundary2	forest	3	11	17	9	1	1	2.761
161.062	3.377	central	ocean	1	20	21	5	1	1	3.377
164.939	2.497	boundary1	desert	2	4	5	3	1	1	2.497
