object	object_type	community	dim1	dim2
1	central	1	4	11
2	central	1	1	5
3	boundary	1	5	5
4	boundary	2	3	0
5	central	2	5	0
6	central	2	1	0
7	central	2	2	0
8	central	2	4	0
9	central	2	0	0
10	boundary	2	6	0
11	boundary	3	4	5
12	central	3	0	5
13	central	3	3	5
14	central	3	6	5
15	central	3	0	6
16	central	3	2	5
17	boundary	3	5	11
18	boundary	1	1	11
19	central	1	2	11
20	central	1	3	11
21	central	1	0	11
