onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	2.924	central	forest	3	12	2	13	2	2	2.924
3.424	1.555	central	ocean	1	1	12	19	2	2	1.555
5.479	1.856	central	forest	3	16	14	9	1	2	1.856
7.836	1.849	central	ocean	1	1	6	2	2	2	1.849
10.184	1.817	boundary1	ocean	1	18	17	20	2	1	1.817
12.501	1.450	central	desert	2	8	14	5	2	1	1.450
14.451	1.467	central	forest	3	13	14	21	1	2	1.467
16.418	2.204	central	desert	2	5	12	7	2	2	2.204
19.121	1.910	central	desert	2	7	16	9	2	1	1.910
21.532	1.964	boundary2	ocean	1	18	15	3	2	2	1.964
23.996	1.437	central	forest	3	14	20	15	2	1	1.437
25.933	2.185	boundary1	forest	3	17	12	18	1	1	2.185
28.618	1.451	central	desert	2	9	5	19	1	1	1.451
30.570	1.734	boundary1	ocean	1	3	19	4	1	2	1.734
32.804	1.396	central	forest	3	12	15	7	1	1	1.396
34.700	1.344	central	ocean	1	20	21	8	1	2	1.344
36.544	1.389	central	ocean	1	21	13	2	2	2	1.389
38.433	1.459	boundary1	desert	2	4	3	9	2	2	1.459
40.392	1.158	central	ocean	1	19	21	16	1	1	1.158
42.049	1.627	boundary1	desert	2	10	5	11	1	2	1.627
44.176	1.659	central	desert	2	5	6	2	1	1	1.659
46.335	1.454	central	forest	3	15	16	1	1	2	1.454
48.289	1.181	central	forest	3	15	13	8	1	1	1.181
49.970	1.242	boundary2	desert	2	10	13	4	2	2	1.242
51.712	1.581	central	forest	3	14	5	12	2	2	1.581
53.793	1.423	central	forest	3	13	6	16	2	2	1.423
55.716	1.075	central	desert	2	7	20	8	2	1	1.075
57.291	1.486	central	desert	2	6	7	21	1	2	1.486
59.277	1.150	central	ocean	1	20	1	14	1	2	1.150
60.927	1.087	central	desert	2	9	13	6	2	1	1.087
62.513	0.934	central	ocean	1	21	5	1	2	1	0.934
63.948	1.296	central	ocean	1	2	9	19	2	2	1.296
65.744	0.998	boundary2	forest	3	17	11	20	1	1	0.998
67.242	1.133	central	ocean	1	19	20	7	1	1	1.133
68.875	1.052	boundary2	forest	3	11	17	5	1	2	1.052
70.427	0.933	central	desert	2	6	8	15	1	1	0.933
71.860	1.253	boundary2	ocean	1	3	8	18	2	2	1.253
73.613	1.147	boundary2	desert	2	4	10	1	1	2	1.147
75.260	0.936	central	ocean	1	2	20	15	1	1	0.936
76.697	0.833	boundary1	forest	3	11	10	15	2	1	0.833
78.030	0.909	central	forest	3	16	19	12	2	2	0.909
79.438	0.742	central	desert	2	8	9	1	1	2	0.742
