object	object_type	community	dim1	dim2
1	central	1	8	9
2	central	1	4	16
3	boundary	1	3	14
4	boundary	2	7	8
5	central	2	6	13
6	central	2	4	13
7	central	2	4	6
8	central	2	9	10
9	central	2	2	5
10	boundary	2	5	15
11	boundary	3	5	12
12	central	3	3	4
13	central	3	5	13
14	central	3	7	10
15	central	3	4	12
16	central	3	6	9
17	boundary	3	3	15
18	boundary	1	4	5
19	central	1	3	6
20	central	1	3	5
21	central	1	6	8
