onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	5.451	central	desert	2	8	1	9	2	2	5.451
5.951	6.130	boundary1	ocean	1	18	2	17	1	1	6.130
12.581	4.504	boundary1	forest	3	11	10	12	2	2	4.504
17.585	7.051	boundary2	forest	3	11	17	8	1	1	7.051
25.136	4.572	boundary1	desert	2	10	11	7	2	2	4.572
30.208	5.125	boundary2	ocean	1	18	3	15	1	1	5.125
35.833	6.068	boundary1	forest	3	17	14	18	1	1	6.068
42.401	8.000	central	ocean	1	2	19	6	1	n/a	n/a
50.901	3.888	boundary1	ocean	1	3	21	4	1	2	3.888
55.289	4.331	boundary1	desert	2	4	3	6	2	2	4.331
60.120	2.836	central	ocean	1	21	7	1	2	1	2.836
63.456	2.265	central	forest	3	13	16	8	1	1	2.265
66.221	2.927	central	ocean	1	19	12	21	2	2	2.927
69.647	3.242	central	ocean	1	1	8	2	2	1	3.242
73.389	3.471	central	forest	3	13	20	14	2	1	3.471
77.360	3.247	central	desert	2	6	7	20	1	2	3.247
81.108	2.678	central	ocean	1	20	21	5	1	2	2.678
84.286	3.491	central	desert	2	9	13	6	2	1	3.491
88.277	3.973	central	forest	3	16	19	12	2	2	3.973
92.750	2.522	central	desert	2	5	6	21	1	1	2.522
95.772	3.918	boundary2	desert	2	4	2	10	2	2	3.918
100.189	2.413	central	forest	3	12	13	21	1	1	2.413
103.102	2.958	central	desert	2	5	15	7	2	2	2.958
106.560	1.833	central	desert	2	7	2	8	2	2	1.833
108.893	2.868	central	ocean	1	21	2	13	1	1	2.868
112.261	3.167	boundary2	ocean	1	3	6	18	2	2	3.167
115.928	2.655	central	forest	3	14	7	12	2	1	2.655
119.083	3.334	boundary2	forest	3	17	21	11	2	2	3.334
122.917	2.341	central	ocean	1	2	14	20	2	1	2.341
125.758	3.655	central	forest	3	15	16	1	1	1	3.655
129.913	2.829	central	forest	3	16	6	14	2	2	2.829
133.242	3.447	central	desert	2	7	9	12	1	1	3.447
137.189	2.861	central	ocean	1	20	1	16	1	1	2.861
140.550	2.427	boundary2	desert	2	10	4	12	1	1	2.427
143.477	3.133	central	ocean	1	19	9	20	2	1	3.133
147.110	2.604	central	forest	3	12	9	15	2	2	2.604
150.214	1.877	central	ocean	1	1	19	15	1	1	1.877
152.591	3.295	central	desert	2	8	5	16	1	1	3.295
156.386	1.762	central	desert	2	6	8	14	1	1	1.762
158.647	3.019	central	forest	3	14	2	15	2	2	3.019
162.166	2.316	central	desert	2	9	5	19	1	1	2.316
164.982	2.554	central	forest	3	15	13	5	1	1	2.554
