object	object_type	community	dim1	dim2
1	central	1	3	16
2	central	1	3	17
3	boundary	1	8	4
4	boundary	2	8	3
5	central	2	9	13
6	central	2	10	13
7	central	2	4	12
8	central	2	5	12
9	central	2	9	12
10	boundary	2	4	17
11	boundary	3	4	16
12	central	3	1	1
13	central	3	1	2
14	central	3	5	13
15	central	3	2	1
16	central	3	2	2
17	boundary	3	4	7
18	boundary	1	3	8
19	central	1	3	7
20	central	1	9	4
21	central	1	4	8
