onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	1.648	central	forest	3	15	16	19	1	1	1.648
2.148	1.676	boundary2	forest	3	17	21	11	2	2	1.676
4.324	1.657	central	ocean	1	2	20	13	1	2	1.657
6.481	1.455	central	forest	3	16	14	6	1	1	1.455
8.436	1.439	boundary2	ocean	1	3	8	18	2	2	1.439
10.375	1.355	central	desert	2	8	5	15	1	1	1.355
12.230	1.366	central	ocean	1	1	14	19	2	2	1.366
14.096	1.311	central	forest	3	12	13	20	1	2	1.311
15.906	1.396	central	ocean	1	21	7	1	2	1	1.396
17.802	1.229	central	ocean	1	19	8	20	2	1	1.229
19.531	1.084	central	desert	2	8	19	9	2	2	1.084
21.115	1.134	boundary1	ocean	1	3	4	2	2	1	1.134
22.749	1.468	central	desert	2	5	20	6	2	1	1.468
24.717	1.331	central	desert	2	9	2	5	2	2	1.331
26.548	1.574	boundary1	ocean	1	18	17	1	2	1	1.574
28.622	1.317	central	desert	2	5	7	14	1	1	1.317
30.439	1.486	central	desert	2	7	8	1	1	2	1.486
32.426	1.355	central	ocean	1	20	1	15	1	2	1.355
34.281	1.464	boundary1	forest	3	17	12	18	1	1	1.464
36.245	3.919	central	ocean	1	1	2	9	1	1	3.919
40.664	2.678	central	ocean	1	19	21	16	1	2	2.678
43.842	3.025	central	forest	3	12	8	15	2	2	3.025
47.368	5.024	central	desert	2	6	8	13	1	1	5.024
52.892	3.537	boundary1	desert	2	4	3	7	2	1	3.537
56.930	3.415	central	ocean	1	20	21	5	1	2	3.415
60.844	3.249	central	ocean	1	21	2	12	1	2	3.249
64.593	3.108	central	desert	2	7	9	16	1	2	3.108
68.201	3.103	boundary1	forest	3	11	13	10	1	1	3.103
71.805	3.409	central	forest	3	13	21	14	2	2	3.409
75.714	2.947	boundary1	desert	2	10	8	11	1	2	2.947
79.161	3.913	central	ocean	1	2	6	19	2	2	3.913
83.573	2.692	boundary2	forest	3	11	17	6	1	1	2.692
86.765	3.064	central	forest	3	14	1	15	2	1	3.064
90.330	3.354	central	desert	2	6	7	21	1	1	3.354
94.184	5.256	central	forest	3	13	9	16	2	2	5.256
99.939	4.531	boundary2	ocean	1	18	3	13	1	1	4.531
104.970	3.872	central	desert	2	9	12	6	2	1	3.872
109.342	3.037	boundary2	desert	2	10	14	4	2	2	3.037
112.879	3.590	central	forest	3	15	5	13	2	1	3.590
116.969	6.090	central	forest	3	14	7	12	2	2	6.090
123.560	3.616	boundary2	desert	2	4	10	20	1	1	3.616
127.675	2.658	central	forest	3	16	2	12	2	2	2.658
