object	object_type	community	dim1	dim2
1	central	1	6	9
2	central	1	2	13
3	boundary	1	2	14
4	boundary	2	1	14
5	central	2	2	5
6	central	2	9	3
7	central	2	2	6
8	central	2	1	7
9	central	2	8	2
10	boundary	2	3	14
11	boundary	3	6	11
12	central	3	9	2
13	central	3	5	10
14	central	3	6	10
15	central	3	2	15
16	central	3	8	4
17	boundary	3	1	6
18	boundary	1	8	3
19	central	1	1	5
20	central	1	5	11
21	central	1	1	13
