onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	4.706	boundary1	desert	2	10	11	9	2	1	4.706
5.206	4.466	central	forest	3	13	19	14	2	1	4.466
10.172	4.948	central	forest	3	14	15	21	1	2	4.948
15.620	3.946	central	desert	2	9	6	15	1	2	3.946
20.066	5.420	central	forest	3	12	13	1	1	1	5.420
25.986	5.433	central	ocean	1	21	1	6	1	2	5.433
31.918	6.147	boundary2	ocean	1	18	3	13	1	1	6.147
38.566	5.772	central	desert	2	5	7	12	1	2	5.772
44.838	5.680	central	desert	2	8	2	9	2	1	5.680
51.018	3.835	boundary2	ocean	1	3	18	9	1	1	3.835
55.353	2.958	central	desert	2	5	6	1	1	2	2.958
58.811	5.244	boundary2	desert	2	4	19	10	2	1	5.244
64.555	3.865	central	forest	3	15	9	13	2	1	3.865
68.920	4.774	central	forest	3	12	7	15	2	1	4.774
74.194	5.537	central	ocean	1	20	1	14	1	2	5.537
80.230	5.121	boundary2	desert	2	10	15	4	2	2	5.121
85.852	4.948	central	desert	2	8	5	14	1	2	4.948
91.300	5.777	central	ocean	1	1	8	2	2	2	5.777
97.577	5.947	boundary1	desert	2	4	5	3	1	1	5.947
104.024	5.347	central	forest	3	16	20	12	2	1	5.347
109.871	7.047	central	ocean	1	2	5	19	2	1	7.047
117.418	8.000	central	desert	2	7	8	21	1	n/a	n/a
125.918	6.974	central	ocean	1	21	15	2	2	2	6.974
133.393	8.000	central	desert	2	7	13	9	2	n/a	n/a
141.893	6.848	central	ocean	1	19	20	7	1	1	6.848
149.241	8.000	boundary2	forest	3	17	20	11	2	n/a	n/a
157.741	2.347	boundary1	ocean	1	3	4	19	2	1	2.347
160.587	3.368	central	desert	2	6	16	8	2	1	3.368
164.456	2.959	central	ocean	1	19	13	21	2	2	2.959
167.915	4.322	central	forest	3	13	8	16	2	1	4.322
172.736	3.329	boundary2	forest	3	11	17	8	1	1	3.329
176.566	5.606	boundary1	ocean	1	18	17	21	2	1	5.606
182.672	3.849	boundary1	forest	3	17	15	18	1	2	3.849
187.022	4.458	central	ocean	1	20	9	21	2	1	4.458
191.979	2.547	central	ocean	1	1	19	12	1	2	2.547
195.026	2.996	central	forest	3	14	12	6	1	1	2.996
198.522	5.906	boundary1	forest	3	11	14	10	1	1	5.906
204.928	3.644	central	ocean	1	2	20	16	1	1	3.644
209.072	3.182	central	desert	2	9	5	20	1	1	3.182
212.754	4.348	central	forest	3	16	5	14	2	2	4.348
217.602	4.973	central	forest	3	15	16	2	1	2	4.973
223.075	6.110	central	desert	2	6	19	7	2	2	6.110
