onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	1	central	canonical	canonical	0.944
8.000	1.000	structured	1	1	20	central	rotated	rotated	0.756
12.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.744
18.000	1.000	structured	1	1	1	central	canonical	canonical	0.699
22.000	1.000	structured	1	1	20	central	canonical	canonical	0.691
28.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.670
32.000	1.000	structured	1	1	19	central	canonical	canonical	0.727
38.000	1.000	structured	1	1	1	central	canonical	canonical	0.808
42.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.766
48.000	1.000	structured	1	1	19	central	canonical	canonical	0.789
52.000	1.000	structured	1	1	20	central	canonical	canonical	0.733
58.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.763
64.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.721
68.000	1.000	structured	1	2	9	central	canonical	canonical	0.736
72.000	1.000	structured	1	2	6	central	canonical	canonical	0.989
76.000	1.000	structured	1	2	7	central	canonical	canonical	0.636
82.000	1.000	structured	1	2	6	central	rotated	n/a	n/a
84.000	1.000	structured	1	2	5	central	canonical	canonical	0.716
86.000	1.000	structured	1	2	6	central	rotated	rotated	0.961
88.000	1.000	structured	1	2	9	central	canonical	canonical	0.696
90.000	1.000	structured	1	2	6	central	rotated	rotated	0.902
92.000	1.000	structured	2	2	5	central	canonical	canonical	0.763
98.000	1.000	structured	2	2	6	central	rotated	rotated	0.929
100.000	1.000	structured	2	2	5	central	rotated	canonical	0.761
106.000	1.000	structured	2	2	8	central	canonical	canonical	0.817
112.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.952
116.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.744
120.000	1.000	structured	2	3	13	central	canonical	canonical	0.891
126.000	1.000	structured	2	3	11	boundary	rotated	rotated	0.884
130.000	1.000	structured	2	3	16	central	canonical	canonical	0.860
132.000	1.000	structured	2	3	11	boundary	rotated	rotated	0.891
138.000	1.000	structured	2	3	15	central	canonical	canonical	0.838
140.000	1.000	structured	2	3	12	central	canonical	canonical	0.892
146.000	1.000	structured	2	3	13	central	canonical	canonical	0.877
148.000	1.000	structured	2	3	12	central	rotated	rotated	0.939
154.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.737
160.000	1.000	structured	2	3	15	central	canonical	canonical	0.748
166.000	1.000	structured	2	3	14	central	canonical	canonical	0.750
168.000	1.000	structured	2	3	12	central	canonical	canonical	0.815
174.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.692
178.000	1.000	structured	2	3	15	central	canonical	canonical	0.709
182.000	1.000	structured	2	3	14	central	canonical	canonical	0.890
186.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.663
192.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.722
194.000	1.000	scrambled	3	3	17	boundary	canonical	n/a	n/a
200.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.744
202.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.735
204.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.640
210.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.874
214.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.773
218.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.701
222.000	1.000	scrambled	3	1	2	central	canonical	canonical	0.720
224.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.735
228.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.765
230.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.720
236.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.636
240.000	1.000	scrambled	3	2	10	boundary	canonical	canonical	0.688
246.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.753
252.000	1.000	scrambled	3	3	16	central	canonical	canonical	0.704
254.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.700
258.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.660
262.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.692
268.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.633
274.000	1.000	structured	4	1	2	central	canonical	canonical	0.779
278.000	1.000	structured	4	1	20	central	rotated	rotated	0.795
284.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.828
288.000	1.000	structured	4	1	20	central	rotated	rotated	0.995
290.000	1.000	structured	4	1	21	central	canonical	canonical	0.688
294.000	1.000	structured	4	1	19	central	canonical	canonical	0.686
296.000	1.000	structured	4	1	2	central	canonical	canonical	0.997
302.000	1.000	structured	4	1	1	central	canonical	canonical	0.894
308.000	1.000	structured	4	1	21	central	canonical	canonical	0.715
312.000	1.000	structured	4	1	1	central	rotated	rotated	0.847
318.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.769
322.000	1.000	structured	4	1	2	central	canonical	canonical	0.808
324.000	1.000	structured	4	1	1	central	canonical	canonical	0.990
328.000	1.000	structured	4	1	19	central	canonical	canonical	0.795
334.000	1.000	structured	4	1	20	central	canonical	canonical	0.686
338.000	1.000	structured	4	1	19	central	rotated	rotated	0.923
340.000	1.000	structured	4	1	21	central	canonical	canonical	0.735
344.000	1.000	structured	4	1	19	central	rotated	n/a	n/a
346.000	1.000	structured	4	1	20	central	canonical	canonical	0.718
352.000	1.000	structured	4	1	19	central	rotated	rotated	0.724
354.000	1.000	structured	4	1	20	central	rotated	rotated	0.802
356.000	1.000	structured	5	1	1	central	canonical	canonical	0.710
362.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.830
366.000	1.000	structured	5	1	21	central	canonical	canonical	0.771
368.000	1.000	structured	5	1	2	central	canonical	canonical	0.830
370.000	1.000	structured	5	1	1	central	canonical	canonical	0.767
376.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.738
380.000	1.000	structured	5	1	1	central	rotated	rotated	0.984
384.000	1.000	structured	5	1	20	central	canonical	canonical	0.993
386.000	1.000	structured	5	1	1	central	rotated	rotated	0.795
392.000	1.000	structured	5	1	18	boundary	canonical	canonical	0.848
398.000	1.000	structured	5	1	21	central	canonical	canonical	0.839
400.000	1.000	structured	5	1	19	central	canonical	canonical	0.775
402.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.718
404.000	1.000	structured	5	1	21	central	canonical	canonical	0.630
408.000	1.000	structured	5	1	1	central	canonical	canonical	0.764
414.000	1.000	structured	5	1	21	central	rotated	rotated	0.986
416.000	1.000	structured	5	1	20	central	canonical	canonical	0.832
418.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.685
424.000	1.000	structured	5	1	2	central	canonical	canonical	0.958
426.000	1.000	structured	5	1	19	central	canonical	canonical	0.759
432.000	1.000	structured	5	1	20	central	canonical	canonical	0.640
436.000	1.000	scrambled	6	2	5	central	canonical	canonical	0.917
438.000	1.000	scrambled	6	1	20	central	rotated	rotated	0.954
444.000	1.000	scrambled	6	3	16	central	canonical	canonical	0.689
448.000	1.000	scrambled	6	1	3	boundary	canonical	canonical	0.749
452.000	1.000	scrambled	6	3	11	boundary	canonical	canonical	0.810
458.000	1.000	scrambled	6	1	19	central	canonical	canonical	0.623
464.000	1.000	scrambled	6	3	13	central	canonical	canonical	0.650
466.000	1.000	scrambled	6	2	4	boundary	canonical	canonical	0.764
468.000	1.000	scrambled	6	3	12	central	canonical	canonical	0.887
474.000	1.000	scrambled	6	1	2	central	canonical	canonical	0.578
476.000	1.000	scrambled	6	3	17	boundary	canonical	canonical	0.644
478.000	1.000	scrambled	6	3	15	central	canonical	canonical	0.650
480.000	1.000	scrambled	6	2	8	central	canonical	canonical	0.714
482.000	1.000	scrambled	6	1	18	boundary	canonical	canonical	0.597
486.000	1.000	scrambled	6	1	21	central	canonical	canonical	0.702
492.000	1.000	scrambled	6	2	9	central	canonical	canonical	0.653
494.000	1.000	scrambled	6	2	6	central	canonical	canonical	0.648
498.000	1.000	scrambled	6	2	10	boundary	canonical	canonical	0.788
502.000	1.000	scrambled	6	2	7	central	canonical	canonical	0.895
508.000	1.000	scrambled	6	3	14	central	canonical	canonical	0.789
514.000	1.000	scrambled	6	1	1	central	canonical	canonical	0.629
518.000	1.000	structured	7	1	21	central	canonical	canonical	0.682
520.000	1.000	structured	7	1	18	boundary	canonical	canonical	0.833
522.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.691
526.000	1.000	structured	7	1	18	boundary	rotated	rotated	0.989
530.000	1.000	structured	7	3	17	boundary	rotated	rotated	0.981
532.000	1.000	structured	7	3	12	central	canonical	canonical	0.992
538.000	1.000	structured	7	3	16	central	canonical	canonical	0.929
542.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.994
546.000	1.000	structured	7	3	15	central	canonical	canonical	0.691
550.000	1.000	structured	7	3	11	boundary	canonical	canonical	0.727
556.000	1.000	structured	7	3	16	central	canonical	canonical	0.757
562.000	1.000	structured	7	3	15	central	canonical	canonical	0.986
566.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.986
570.000	1.000	structured	7	3	13	central	canonical	canonical	0.873
572.000	1.000	structured	7	3	14	central	canonical	canonical	0.749
574.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.878
576.000	1.000	structured	7	3	12	central	canonical	canonical	0.831
580.000	1.000	structured	7	3	11	boundary	canonical	canonical	0.709
582.000	1.000	structured	7	3	14	central	canonical	canonical	0.618
584.000	1.000	structured	7	3	15	central	canonical	canonical	0.686
590.000	1.000	structured	7	3	11	boundary	canonical	canonical	0.688
