object	object_type	community	dim1	dim2
1	central	1	3	16
2	central	1	3	15
3	boundary	1	1	15
4	boundary	2	8	1
5	central	2	9	2
6	central	2	2	14
7	central	2	3	14
8	central	2	8	2
9	central	2	0	0
10	boundary	2	5	18
11	boundary	3	5	17
12	central	3	1	1
13	central	3	1	0
14	central	3	1	16
15	central	3	0	2
16	central	3	2	16
17	boundary	3	9	3
18	boundary	1	0	1
19	central	1	2	15
20	central	1	1	14
21	central	1	2	13
