onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	6.695	central	desert	2	9	14	6	2	2	6.695
7.195	6.943	central	desert	2	9	5	20	1	1	6.943
14.638	7.003	central	ocean	1	2	9	19	2	2	7.003
22.141	4.654	central	forest	3	15	1	16	2	1	4.654
27.295	5.809	central	forest	3	13	14	19	1	1	5.809
33.604	5.415	central	desert	2	7	9	15	1	2	5.415
39.519	5.816	boundary1	forest	3	17	15	18	1	2	5.816
45.835	8.000	boundary1	ocean	1	18	17	21	2	n/a	n/a
54.335	2.320	central	desert	2	8	9	1	1	1	2.320
57.155	4.330	central	forest	3	16	20	12	2	2	4.330
61.985	3.472	central	ocean	1	2	20	16	1	2	3.472
65.957	4.648	boundary1	ocean	1	3	1	4	1	2	4.648
71.105	5.892	central	forest	3	12	13	21	1	1	5.892
77.497	3.538	central	desert	2	6	16	8	2	2	3.538
81.535	2.859	central	ocean	1	1	19	13	1	1	2.859
84.894	2.464	central	desert	2	8	5	12	1	1	2.464
87.858	3.361	boundary2	ocean	1	18	14	3	2	1	3.361
91.719	5.169	central	forest	3	16	9	14	2	1	5.169
97.388	3.577	central	forest	3	14	2	15	2	2	3.577
101.464	2.185	boundary2	ocean	1	3	5	18	2	2	2.185
104.149	3.261	boundary2	desert	2	10	4	15	1	1	3.261
107.911	3.677	central	desert	2	5	6	21	1	1	3.677
112.087	3.059	central	forest	3	14	7	12	2	1	3.059
115.646	4.069	central	desert	2	5	7	13	1	2	4.069
120.215	3.234	boundary2	forest	3	11	17	6	1	1	3.234
123.949	2.726	central	ocean	1	21	7	1	2	1	2.726
127.175	2.474	boundary2	desert	2	4	2	10	2	2	2.474
130.149	2.551	boundary1	desert	2	4	3	7	2	1	2.551
133.200	4.593	central	forest	3	15	6	13	2	2	4.593
138.293	1.599	central	desert	2	7	8	2	1	1	1.599
140.392	1.880	central	ocean	1	20	1	12	1	1	1.880
142.772	3.627	boundary2	forest	3	17	11	1	1	2	3.627
146.899	2.904	boundary1	forest	3	11	10	13	2	2	2.904
150.303	1.716	central	ocean	1	19	15	21	2	1	1.716
152.519	1.290	central	ocean	1	19	8	20	2	2	1.290
154.309	4.906	boundary1	desert	2	10	5	11	1	1	4.906
159.715	2.807	central	forest	3	13	5	16	2	2	2.807
163.022	4.128	central	ocean	1	20	21	6	1	2	4.128
167.649	2.717	central	ocean	1	1	5	2	2	2	2.717
170.866	3.339	central	forest	3	12	8	15	2	1	3.339
174.705	2.486	central	desert	2	6	7	19	1	2	2.486
177.690	2.531	central	ocean	1	21	2	14	1	1	2.531
