object	object_type	community	dim1	dim2
1	central	1	0	5
2	central	1	3	5
3	boundary	1	4	5
4	boundary	2	1	4
5	central	2	4	4
6	central	2	5	4
7	central	2	9	1
8	central	2	0	4
9	central	2	1	5
10	boundary	2	8	0
11	boundary	3	7	11
12	central	3	7	10
13	central	3	8	11
14	central	3	8	10
15	central	3	7	12
16	central	3	10	1
17	boundary	3	9	0
18	boundary	1	2	5
19	central	1	8	1
20	central	1	2	4
21	central	1	3	4
