onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	5.589	boundary2	forest	3	11	7	17	2	1	5.589
6.089	3.075	central	ocean	1	19	21	16	1	2	3.075
9.664	5.394	central	ocean	1	2	19	9	1	1	5.394
15.559	5.484	central	forest	3	15	13	5	1	1	5.484
21.542	4.707	central	ocean	1	21	8	1	2	2	4.707
26.749	4.965	boundary2	desert	2	10	4	14	1	2	4.965
32.214	6.454	central	forest	3	16	12	21	1	1	6.454
39.168	3.000	central	forest	3	16	9	14	2	2	3.000
42.668	6.673	boundary1	desert	2	4	9	3	1	1	6.673
49.841	2.324	central	ocean	1	20	15	1	2	2	2.324
52.664	2.759	central	forest	3	12	6	15	2	2	2.759
55.923	4.585	central	ocean	1	19	20	6	1	2	4.585
61.008	2.837	central	desert	2	6	19	7	2	1	2.837
64.346	2.537	central	forest	3	14	15	2	1	1	2.537
67.383	3.244	boundary2	ocean	1	18	13	3	2	2	3.244
71.127	2.113	central	ocean	1	1	19	14	1	1	2.113
73.740	6.881	boundary1	forest	3	11	10	13	2	1	6.881
81.121	6.469	central	forest	3	13	14	19	1	2	6.469
88.089	7.482	boundary1	desert	2	10	11	7	2	1	7.482
96.072	4.716	boundary1	ocean	1	3	4	2	2	2	4.716
101.288	2.574	central	forest	3	15	16	1	1	1	2.574
104.361	6.509	central	desert	2	9	21	5	2	2	6.509
111.370	3.946	central	ocean	1	2	12	20	2	1	3.946
115.816	3.201	central	ocean	1	20	21	5	1	2	3.201
119.517	1.855	central	desert	2	5	20	6	2	1	1.855
121.872	3.433	central	forest	3	13	7	16	2	2	3.433
125.805	1.045	central	ocean	1	1	2	7	1	1	1.045
127.350	2.231	central	desert	2	8	9	1	1	1	2.231
130.081	3.806	boundary2	desert	2	4	10	21	1	2	3.806
134.387	1.456	central	forest	3	14	12	8	1	2	1.456
136.343	3.530	central	desert	2	7	16	9	2	1	3.530
140.373	6.667	central	desert	2	8	15	5	2	1	6.667
147.540	5.396	central	ocean	1	21	13	2	2	1	5.396
153.436	1.582	central	desert	2	7	8	2	1	2	1.582
155.518	4.923	boundary2	forest	3	17	11	20	1	1	4.923
160.941	1.824	boundary1	ocean	1	18	21	17	1	1	1.824
163.266	3.506	central	desert	2	9	13	6	2	2	3.506
167.271	5.234	boundary2	ocean	1	3	8	18	2	2	5.234
173.005	2.568	boundary1	forest	3	17	14	18	1	1	2.568
176.073	1.995	central	desert	2	5	14	7	2	1	1.995
178.568	3.426	central	desert	2	6	8	12	1	2	3.426
182.494	1.598	central	forest	3	12	20	13	2	2	1.598
