onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.918
1.500	1.500	structured	1	2	6	central	canonical	canonical	0.765
3.000	1.500	structured	1	2	9	central	canonical	canonical	0.669
4.500	1.500	structured	1	2	7	central	canonical	canonical	0.697
6.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.747
7.500	1.500	structured	1	2	9	central	canonical	canonical	0.767
9.000	1.500	structured	1	2	7	central	canonical	canonical	0.639
10.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.926
12.000	1.500	structured	1	3	11	boundary	canonical	canonical	1.119
13.500	1.500	structured	1	3	13	central	canonical	canonical	0.677
15.000	1.500	structured	1	3	16	central	canonical	canonical	0.612
16.500	1.500	structured	1	3	14	central	canonical	canonical	0.683
18.000	1.500	structured	1	3	12	central	canonical	canonical	0.651
19.500	1.500	structured	1	3	16	central	canonical	canonical	0.624
21.000	1.500	structured	1	3	17	boundary	canonical	canonical	1.192
22.500	1.500	structured	1	3	15	central	canonical	canonical	0.719
24.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.798
25.500	1.500	structured	1	3	12	central	canonical	canonical	0.678
27.000	1.500	structured	1	3	16	central	canonical	canonical	0.596
28.500	1.500	structured	1	3	13	central	canonical	canonical	0.649
30.000	1.500	structured	1	3	14	central	canonical	canonical	0.660
31.500	1.500	structured	1	3	15	central	canonical	canonical	0.681
33.000	1.500	structured	1	3	12	central	canonical	canonical	0.647
34.500	1.500	structured	1	3	15	central	rotated	rotated	0.903
36.000	1.500	structured	1	3	16	central	canonical	canonical	0.623
37.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.684
39.000	1.500	structured	1	3	12	central	canonical	canonical	0.659
40.500	1.500	structured	1	3	13	central	canonical	canonical	0.602
42.000	1.500	structured	1	3	14	central	canonical	canonical	0.643
43.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.535
45.000	1.500	structured	1	3	14	central	rotated	rotated	0.782
46.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.640
48.000	1.500	structured	1	3	13	central	canonical	canonical	0.590
49.500	1.500	structured	1	3	15	central	canonical	canonical	0.548
51.000	1.500	structured	1	3	14	central	canonical	canonical	0.708
52.500	1.500	structured	1	3	13	central	canonical	canonical	0.579
54.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.577
55.500	1.500	structured	1	3	12	central	canonical	canonical	0.625
57.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.617
58.500	1.500	structured	1	3	14	central	canonical	canonical	0.584
