object	object_type	community	dim1	dim2
1	central	1	8	9
2	central	1	8	7
3	boundary	1	9	9
4	boundary	2	1	4
5	central	2	0	4
6	central	2	9	10
7	central	2	0	6
8	central	2	2	11
9	central	2	1	5
10	boundary	2	1	6
11	boundary	3	0	5
12	central	3	1	14
13	central	3	2	13
14	central	3	1	12
15	central	3	2	12
16	central	3	2	14
17	boundary	3	1	13
18	boundary	1	9	7
19	central	1	8	8
20	central	1	9	8
21	central	1	8	10
