onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	2	10	boundary	canonical	canonical	1.450
1.500	1.500	structured	1	2	6	central	canonical	canonical	0.778
3.000	1.500	structured	1	2	10	boundary	rotated	canonical	1.487
4.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.953
6.000	1.500	structured	1	3	12	central	canonical	canonical	0.818
7.500	1.500	structured	1	3	14	central	canonical	canonical	0.819
9.000	1.500	structured	1	3	12	central	rotated	rotated	1.307
10.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.976
12.000	1.500	structured	1	3	12	central	rotated	rotated	1.021
13.500	1.500	structured	1	3	13	central	canonical	rotated	0.949
15.000	1.500	structured	1	3	15	central	canonical	rotated	1.301
16.500	1.500	structured	1	3	11	boundary	canonical	canonical	1.032
18.000	1.500	structured	1	3	13	central	canonical	canonical	0.818
19.500	1.500	structured	1	3	15	central	canonical	canonical	0.783
21.000	1.500	structured	1	3	11	boundary	canonical	canonical	1.281
22.500	1.500	structured	1	3	14	central	canonical	canonical	1.256
24.000	1.500	structured	1	3	11	boundary	rotated	rotated	1.013
25.500	1.500	structured	1	3	14	central	rotated	rotated	1.179
27.000	1.500	structured	1	3	17	boundary	canonical	canonical	1.240
28.500	1.500	structured	1	3	16	central	canonical	canonical	0.929
30.000	1.500	structured	1	3	15	central	canonical	canonical	0.865
31.500	1.500	structured	1	3	12	central	canonical	canonical	0.845
33.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.589
34.500	1.500	structured	1	3	16	central	canonical	canonical	0.574
36.000	1.500	structured	1	3	11	boundary	rotated	rotated	0.944
37.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.677
39.000	1.500	structured	1	2	8	central	canonical	canonical	0.744
40.500	1.500	structured	1	2	5	central	canonical	canonical	0.750
42.000	1.500	structured	1	2	7	central	canonical	canonical	0.748
43.500	1.500	structured	1	2	6	central	canonical	canonical	0.673
45.000	1.500	structured	1	2	9	central	canonical	canonical	0.607
46.500	1.500	structured	1	2	8	central	canonical	canonical	0.611
48.000	1.500	structured	1	2	7	central	canonical	canonical	0.561
49.500	1.500	structured	1	2	8	central	rotated	rotated	1.068
51.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.690
52.500	1.500	structured	1	2	7	central	canonical	canonical	1.155
54.000	1.500	structured	1	2	5	central	canonical	canonical	0.913
55.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.812
57.000	1.500	structured	1	2	6	central	canonical	canonical	0.676
58.500	1.500	structured	1	2	7	central	canonical	canonical	0.726
60.000	1.500	structured	1	2	5	central	canonical	canonical	0.783
61.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.681
63.000	1.500	structured	1	2	5	central	rotated	rotated	0.926
64.500	1.500	structured	1	2	8	central	canonical	canonical	0.612
66.000	1.500	structured	1	2	9	central	canonical	canonical	0.743
67.500	1.500	structured	1	2	7	central	canonical	canonical	0.667
69.000	1.500	structured	1	2	5	central	canonical	canonical	1.494
70.500	1.500	structured	1	2	8	central	canonical	canonical	0.679
72.000	1.500	structured	1	2	6	central	canonical	canonical	0.723
73.500	1.500	structured	1	2	8	central	rotated	rotated	0.797
75.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.694
76.500	1.500	structured	1	2	7	central	canonical	canonical	0.536
78.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.554
79.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.650
81.000	1.500	structured	1	3	12	central	canonical	canonical	0.663
82.500	1.500	structured	1	3	15	central	canonical	canonical	0.594
84.000	1.500	structured	1	3	13	central	canonical	canonical	0.649
85.500	1.500	structured	1	3	14	central	canonical	canonical	0.678
87.000	1.500	structured	1	3	16	central	canonical	canonical	0.810
88.500	1.500	structured	1	3	14	central	rotated	canonical	1.289
90.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.629
91.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.680
93.000	1.500	structured	1	3	17	boundary	rotated	rotated	0.857
94.500	1.500	structured	1	3	15	central	canonical	canonical	0.689
96.000	1.500	structured	1	3	16	central	canonical	canonical	0.767
97.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.647
99.000	1.500	structured	1	3	16	central	rotated	rotated	0.988
100.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.891
102.000	1.500	structured	1	3	15	central	canonical	canonical	0.705
103.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.910
105.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.710
106.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.989
108.000	1.500	structured	1	2	10	boundary	rotated	rotated	1.096
109.500	1.500	structured	1	2	5	central	canonical	canonical	0.815
111.000	1.500	structured	1	2	9	central	canonical	canonical	0.815
112.500	1.500	structured	1	2	6	central	canonical	canonical	0.706
114.000	1.500	structured	1	2	7	central	canonical	canonical	0.711
115.500	1.500	structured	1	2	6	central	rotated	rotated	0.821
117.000	1.500	structured	1	2	5	central	canonical	canonical	0.750
118.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.736
120.000	1.500	structured	1	2	7	central	canonical	canonical	0.800
121.500	1.500	structured	1	2	9	central	canonical	canonical	0.729
123.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.686
124.500	1.500	structured	1	2	9	central	rotated	rotated	0.947
126.000	1.500	structured	1	2	6	central	canonical	canonical	0.859
127.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.795
129.000	1.500	structured	1	2	6	central	rotated	rotated	0.788
130.500	1.500	structured	1	2	4	boundary	rotated	rotated	1.032
132.000	1.500	structured	1	2	7	central	canonical	canonical	0.721
133.500	1.500	structured	1	2	4	boundary	rotated	rotated	0.969
135.000	1.500	structured	1	2	5	central	canonical	canonical	0.580
136.500	1.500	structured	1	2	7	central	canonical	canonical	0.781
138.000	1.500	structured	1	2	6	central	canonical	canonical	0.719
139.500	1.500	structured	1	2	8	central	canonical	canonical	0.767
141.000	1.500	structured	1	2	9	central	canonical	canonical	0.869
142.500	1.500	structured	1	2	5	central	canonical	canonical	0.670
144.000	1.500	structured	1	2	6	central	canonical	canonical	0.706
145.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.648
147.000	1.500	structured	1	2	7	central	canonical	canonical	1.487
148.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.785
150.000	1.500	structured	1	2	8	central	canonical	canonical	0.603
151.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.571
153.000	1.500	structured	1	2	7	central	canonical	canonical	0.683
154.500	1.500	structured	1	2	10	boundary	rotated	rotated	1.085
156.000	1.500	structured	1	2	5	central	canonical	canonical	0.651
157.500	1.500	structured	1	2	8	central	canonical	canonical	0.475
159.000	1.500	structured	1	2	6	central	canonical	canonical	0.761
160.500	1.500	structured	1	2	5	central	canonical	canonical	0.552
162.000	1.500	structured	1	2	9	central	canonical	canonical	0.541
163.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.949
165.000	1.500	structured	1	2	7	central	canonical	canonical	0.730
166.500	1.500	structured	1	2	5	central	canonical	canonical	0.715
168.000	1.500	structured	1	2	9	central	canonical	canonical	0.764
169.500	1.500	structured	1	2	8	central	canonical	canonical	0.955
171.000	1.500	structured	1	2	7	central	canonical	canonical	0.818
172.500	1.500	structured	1	2	6	central	canonical	canonical	0.852
174.000	1.500	structured	1	2	9	central	canonical	canonical	0.673
175.500	1.500	structured	1	2	8	central	canonical	canonical	0.712
177.000	1.500	structured	1	2	6	central	canonical	canonical	0.786
178.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.726
180.000	1.500	structured	1	2	9	central	canonical	canonical	0.670
181.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.604
183.000	1.500	structured	1	2	6	central	canonical	canonical	0.829
184.500	1.500	structured	1	2	5	central	canonical	canonical	0.770
186.000	1.500	structured	1	2	8	central	canonical	canonical	0.855
187.500	1.500	structured	1	2	7	central	canonical	canonical	0.827
189.000	1.500	structured	1	2	6	central	canonical	canonical	0.722
190.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.690
192.000	1.500	structured	1	2	9	central	canonical	canonical	0.782
193.500	1.500	structured	1	2	8	central	canonical	canonical	0.762
195.000	1.500	structured	1	2	7	central	canonical	canonical	0.723
196.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.586
198.000	1.500	structured	1	2	9	central	canonical	canonical	0.858
199.500	1.500	structured	1	2	6	central	canonical	canonical	0.877
201.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.218
202.500	1.500	structured	1	2	7	central	canonical	canonical	0.600
204.000	1.500	structured	1	2	10	boundary	rotated	rotated	0.979
205.500	1.500	structured	1	2	8	central	canonical	canonical	1.346
207.000	1.500	structured	1	2	5	central	canonical	canonical	0.791
208.500	1.500	structured	1	2	10	boundary	canonical	canonical	1.490
210.000	1.500	structured	1	2	8	central	canonical	canonical	0.777
211.500	1.500	structured	1	2	5	central	canonical	canonical	0.639
213.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.566
214.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.653
216.000	1.500	structured	1	3	15	central	canonical	canonical	0.657
217.500	1.500	structured	1	3	14	central	canonical	canonical	0.653
219.000	1.500	structured	1	3	16	central	canonical	canonical	0.759
220.500	1.500	structured	1	3	14	central	rotated	rotated	0.761
222.000	1.500	structured	1	3	15	central	canonical	canonical	0.769
223.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.758
225.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.671
226.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.864
228.000	1.500	structured	1	3	15	central	canonical	canonical	0.710
229.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.679
231.000	1.500	structured	1	3	16	central	canonical	canonical	0.741
232.500	1.500	structured	1	3	11	boundary	rotated	canonical	0.681
234.000	1.500	structured	1	3	12	central	canonical	canonical	0.885
235.500	1.500	structured	1	3	15	central	canonical	canonical	0.833
237.000	1.500	structured	1	3	12	central	rotated	rotated	1.027
238.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.660
240.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.960
241.500	1.500	structured	1	1	21	central	canonical	canonical	0.817
243.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.829
244.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.678
246.000	1.500	structured	1	2	5	central	canonical	canonical	0.668
247.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.675
249.000	1.500	structured	1	2	7	central	canonical	canonical	0.783
250.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.613
252.000	1.500	structured	1	2	6	central	canonical	canonical	0.634
253.500	1.500	structured	1	2	7	central	canonical	canonical	0.719
255.000	1.500	structured	1	2	5	central	canonical	canonical	0.574
256.500	1.500	structured	1	2	7	central	rotated	rotated	1.030
258.000	1.500	structured	1	2	5	central	rotated	rotated	1.225
259.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.635
261.000	1.500	structured	1	2	9	central	canonical	canonical	0.802
262.500	1.500	structured	1	2	6	central	canonical	canonical	0.985
264.000	1.500	structured	1	2	7	central	canonical	canonical	0.832
265.500	1.500	structured	1	2	6	central	rotated	rotated	0.847
267.000	1.500	structured	1	2	4	boundary	canonical	canonical	1.094
268.500	1.500	structured	1	2	7	central	canonical	canonical	1.199
270.000	1.500	structured	1	2	6	central	canonical	canonical	0.790
271.500	1.500	structured	1	2	7	central	rotated	rotated	1.080
273.000	1.500	structured	1	2	5	central	canonical	canonical	0.615
274.500	1.500	structured	1	2	7	central	rotated	rotated	0.993
276.000	1.500	structured	1	2	4	boundary	canonical	n/a	n/a
277.500	1.500	structured	1	2	9	central	canonical	canonical	0.739
279.000	1.500	structured	1	2	6	central	canonical	canonical	0.814
280.500	1.500	structured	1	2	7	central	canonical	canonical	0.936
282.000	1.500	structured	1	2	10	boundary	canonical	canonical	1.160
283.500	1.500	structured	1	2	9	central	canonical	canonical	0.949
285.000	1.500	structured	1	2	4	boundary	canonical	canonical	1.176
286.500	1.500	structured	1	2	8	central	canonical	canonical	0.643
288.000	1.500	structured	1	2	9	central	canonical	canonical	0.597
289.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.724
291.000	1.500	structured	1	2	7	central	canonical	canonical	0.603
292.500	1.500	structured	1	2	9	central	canonical	canonical	0.643
294.000	1.500	structured	1	2	5	central	canonical	canonical	0.733
295.500	1.500	structured	1	2	8	central	canonical	canonical	0.631
297.000	1.500	structured	1	2	6	central	canonical	canonical	0.661
298.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.663
300.000	1.500	structured	1	2	6	central	rotated	rotated	0.802
301.500	1.500	structured	1	2	9	central	canonical	canonical	0.843
303.000	1.500	structured	1	2	4	boundary	canonical	canonical	1.031
304.500	1.500	structured	1	2	5	central	canonical	canonical	0.757
306.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.686
307.500	1.500	structured	1	2	5	central	rotated	rotated	0.979
309.000	1.500	structured	1	2	8	central	canonical	canonical	0.811
310.500	1.500	structured	1	2	9	central	canonical	canonical	0.962
312.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.715
313.500	1.500	structured	1	2	5	central	canonical	canonical	0.709
315.000	1.500	structured	1	2	7	central	canonical	canonical	0.625
316.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.837
318.000	1.500	structured	1	2	5	central	canonical	canonical	0.854
319.500	1.500	structured	1	2	7	central	canonical	canonical	0.762
321.000	1.500	structured	1	2	8	central	canonical	canonical	0.591
322.500	1.500	structured	1	2	5	central	canonical	canonical	0.740
324.000	1.500	structured	1	2	6	central	canonical	canonical	0.970
325.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.629
327.000	1.500	structured	1	2	9	central	canonical	canonical	0.830
328.500	1.500	structured	1	2	10	boundary	rotated	rotated	1.093
330.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.591
331.500	1.500	structured	1	3	12	central	canonical	canonical	1.186
333.000	1.500	structured	1	3	15	central	canonical	canonical	0.910
334.500	1.500	structured	1	3	12	central	rotated	rotated	1.179
336.000	1.500	structured	1	3	16	central	canonical	canonical	0.727
337.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.933
