object	object_type	community	dim1	dim2
1	central	1	2	5
2	central	1	8	8
3	boundary	1	5	9
4	boundary	2	2	4
5	central	2	1	4
6	central	2	2	15
7	central	2	5	18
8	central	2	5	17
9	central	2	1	5
10	boundary	2	4	9
11	boundary	3	9	9
12	central	3	8	7
13	central	3	8	9
14	central	3	1	6
15	central	3	3	9
16	central	3	6	18
17	boundary	3	9	7
18	boundary	1	9	15
19	central	1	3	10
20	central	1	4	10
21	central	1	9	8
