onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	1	1	central	rotated	rotated	0.876
1.500	1.500	structured	1	1	18	boundary	canonical	canonical	1.026
3.000	1.500	structured	1	1	2	central	canonical	canonical	0.745
4.500	1.500	structured	1	1	21	central	canonical	canonical	0.898
6.000	1.500	structured	1	1	2	central	rotated	rotated	0.886
7.500	1.500	structured	1	1	20	central	canonical	canonical	0.660
9.000	1.500	structured	1	1	21	central	canonical	canonical	0.925
10.500	1.500	structured	1	1	1	central	canonical	canonical	0.749
12.000	1.500	structured	1	1	21	central	rotated	rotated	0.998
13.500	1.500	structured	1	1	2	central	canonical	canonical	0.763
15.000	1.500	structured	1	1	21	central	rotated	rotated	1.056
16.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.753
18.000	1.500	structured	1	1	1	central	canonical	canonical	0.768
19.500	1.500	structured	1	1	3	boundary	rotated	rotated	0.672
21.000	1.500	structured	1	1	1	central	rotated	rotated	0.849
22.500	1.500	structured	1	1	21	central	canonical	canonical	0.784
24.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.758
25.500	1.500	structured	1	1	19	central	canonical	canonical	0.729
27.000	1.500	structured	1	1	1	central	canonical	canonical	0.634
28.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.633
30.000	1.500	structured	1	1	1	central	rotated	rotated	0.775
31.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.634
33.000	1.500	structured	1	1	20	central	canonical	canonical	0.686
34.500	1.500	structured	1	1	2	central	canonical	canonical	0.709
36.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.657
37.500	1.500	structured	1	1	2	central	rotated	rotated	0.804
39.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.712
40.500	1.500	structured	1	1	1	central	canonical	canonical	0.615
42.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.749
43.500	1.500	structured	1	1	19	central	canonical	canonical	0.709
45.000	1.500	structured	1	1	20	central	canonical	canonical	0.696
46.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.868
48.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.757
49.500	1.500	structured	1	3	12	central	canonical	canonical	0.626
51.000	1.500	structured	1	3	13	central	canonical	canonical	0.693
52.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.687
54.000	1.500	structured	1	3	14	central	canonical	canonical	0.735
55.500	1.500	structured	1	3	16	central	canonical	canonical	0.803
57.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.714
58.500	1.500	structured	1	3	12	central	canonical	canonical	0.727
60.000	1.500	structured	1	3	13	central	canonical	canonical	0.697
61.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.798
63.000	1.500	structured	1	3	14	central	canonical	canonical	0.725
64.500	1.500	structured	1	3	16	central	canonical	canonical	0.691
66.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.691
67.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.836
69.000	1.500	structured	1	2	5	central	canonical	canonical	0.727
70.500	1.500	structured	1	2	8	central	canonical	canonical	0.724
72.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.634
73.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.677
75.000	1.500	structured	1	3	13	central	canonical	canonical	0.645
76.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.603
78.000	1.500	structured	1	3	12	central	canonical	canonical	0.604
79.500	1.500	structured	1	3	17	boundary	rotated	rotated	0.863
81.000	1.500	structured	1	3	13	central	canonical	canonical	0.694
82.500	1.500	structured	1	3	16	central	canonical	canonical	0.689
84.000	1.500	structured	1	3	14	central	canonical	canonical	0.734
85.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.653
87.000	1.500	structured	1	3	13	central	canonical	canonical	0.586
88.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.586
90.000	1.500	structured	1	3	15	central	canonical	canonical	0.653
91.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.662
93.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.625
94.500	1.500	structured	1	2	8	central	canonical	canonical	0.663
96.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.704
97.500	1.500	structured	1	2	6	central	canonical	canonical	0.677
99.000	1.500	structured	1	2	9	central	canonical	canonical	0.640
100.500	1.500	structured	1	2	8	central	canonical	canonical	0.623
102.000	1.500	structured	1	2	7	central	canonical	canonical	0.717
103.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.739
105.000	1.500	structured	1	2	8	central	canonical	canonical	0.732
106.500	1.500	structured	1	2	9	central	canonical	canonical	0.665
108.000	1.500	structured	1	2	6	central	canonical	canonical	0.554
109.500	1.500	structured	1	2	8	central	canonical	canonical	0.595
111.000	1.500	structured	1	2	5	central	canonical	canonical	0.565
112.500	1.500	structured	1	2	9	central	canonical	canonical	0.579
114.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.749
115.500	1.500	structured	1	2	6	central	canonical	canonical	0.596
117.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.630
118.500	1.500	structured	1	2	7	central	canonical	canonical	0.630
120.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.653
121.500	1.500	structured	1	2	7	central	rotated	rotated	0.681
123.000	1.500	structured	1	2	6	central	canonical	canonical	0.565
124.500	1.500	structured	1	2	9	central	canonical	canonical	0.596
126.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.593
127.500	1.500	structured	1	2	8	central	canonical	canonical	0.675
129.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.708
130.500	1.500	structured	1	2	5	central	canonical	canonical	0.683
132.000	1.500	structured	1	2	7	central	canonical	canonical	0.628
133.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.670
135.000	1.500	structured	1	2	8	central	canonical	canonical	0.862
136.500	1.500	structured	1	2	6	central	canonical	canonical	0.650
138.000	1.500	structured	1	2	7	central	canonical	canonical	0.614
139.500	1.500	structured	1	2	8	central	canonical	canonical	0.564
141.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.785
142.500	1.500	structured	1	2	7	central	canonical	canonical	0.739
144.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.736
145.500	1.500	structured	1	2	8	central	canonical	canonical	0.839
147.000	1.500	structured	1	2	6	central	canonical	canonical	0.781
148.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.705
150.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.709
151.500	1.500	structured	1	3	15	central	canonical	canonical	0.589
153.000	1.500	structured	1	3	11	boundary	rotated	rotated	0.726
154.500	1.500	structured	1	3	16	central	canonical	canonical	0.640
156.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.749
157.500	1.500	structured	1	3	14	central	canonical	canonical	0.668
159.000	1.500	structured	1	3	13	central	canonical	canonical	0.610
160.500	1.500	structured	1	3	14	central	rotated	rotated	0.671
162.000	1.500	structured	1	3	12	central	canonical	canonical	0.589
163.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.655
165.000	1.500	structured	1	3	15	central	canonical	canonical	0.593
166.500	1.500	structured	1	3	12	central	canonical	canonical	0.566
168.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.616
169.500	1.500	structured	1	3	15	central	canonical	canonical	0.554
171.000	1.500	structured	1	3	14	central	canonical	canonical	0.598
172.500	1.500	structured	1	3	16	central	canonical	canonical	0.659
174.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.633
175.500	1.500	structured	1	3	16	central	rotated	rotated	0.684
177.000	1.500	structured	1	3	13	central	canonical	canonical	0.576
