object	object_type	community	dim1	dim2
1	central	1	4	1
2	central	1	0	17
3	boundary	1	9	18
4	boundary	2	10	17
5	central	2	2	1
6	central	2	3	0
7	central	2	0	8
8	central	2	1	0
9	central	2	0	16
10	boundary	2	1	18
11	boundary	3	10	18
12	central	3	1	1
13	central	3	1	17
14	central	3	9	17
15	central	3	0	9
16	central	3	8	18
17	boundary	3	1	16
18	boundary	1	2	0
19	central	1	4	0
20	central	1	3	1
21	central	1	0	18
