onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	6	central	canonical	canonical	0.682
8.000	1.000	structured	1	2	5	central	canonical	canonical	0.623
10.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.617
16.000	1.000	structured	1	2	8	central	canonical	canonical	0.628
22.000	1.000	structured	1	2	9	central	canonical	canonical	0.649
24.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.621
30.000	1.000	structured	1	2	7	central	canonical	canonical	0.689
36.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.582
42.000	1.000	structured	1	3	11	boundary	canonical	canonical	0.683
48.000	1.000	structured	1	3	16	central	canonical	canonical	0.847
50.000	1.000	structured	1	3	13	central	canonical	canonical	0.648
52.000	1.000	structured	1	3	15	central	canonical	canonical	0.658
54.000	1.000	structured	1	3	14	central	canonical	canonical	0.615
58.000	1.000	structured	1	3	15	central	rotated	canonical	0.623
60.000	1.000	structured	1	3	17	boundary	canonical	canonical	0.555
62.000	1.000	structured	1	3	12	central	canonical	canonical	0.594
66.000	1.000	structured	1	3	15	central	canonical	canonical	0.678
68.000	1.000	structured	1	3	14	central	canonical	canonical	0.589
72.000	1.000	structured	1	3	13	central	canonical	canonical	0.583
74.000	1.000	structured	1	3	14	central	rotated	canonical	0.597
78.000	1.000	structured	1	3	12	central	canonical	canonical	0.637
80.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.553
86.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.622
92.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.695
96.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.721
100.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.681
102.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.651
108.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.860
112.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.596
118.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.661
124.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.595
130.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.577
136.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.809
142.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.567
146.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.536
150.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.576
152.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.640
154.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.726
160.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.735
164.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.586
170.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.715
172.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.624
176.000	1.000	structured	3	2	6	central	canonical	canonical	0.591
178.000	1.000	structured	3	2	8	central	canonical	canonical	0.582
182.000	1.000	structured	3	2	9	central	canonical	canonical	0.607
184.000	1.000	structured	3	2	5	central	canonical	canonical	0.619
186.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.547
192.000	1.000	structured	3	2	7	central	canonical	canonical	0.564
198.000	1.000	structured	3	2	10	boundary	rotated	rotated	0.823
200.000	1.000	structured	3	2	7	central	rotated	rotated	0.831
202.000	1.000	structured	3	2	5	central	canonical	canonical	0.730
204.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.675
210.000	1.000	structured	3	3	11	boundary	canonical	canonical	0.649
216.000	1.000	structured	3	3	16	central	canonical	canonical	0.602
222.000	1.000	structured	3	3	17	boundary	canonical	canonical	0.651
224.000	1.000	structured	3	3	14	central	canonical	canonical	0.665
230.000	1.000	structured	3	3	12	central	canonical	canonical	0.619
232.000	1.000	structured	3	3	14	central	rotated	rotated	0.887
234.000	1.000	structured	3	3	12	central	rotated	rotated	0.648
240.000	1.000	structured	3	3	13	central	canonical	canonical	0.804
242.000	1.000	structured	3	3	12	central	rotated	rotated	0.694
244.000	1.000	structured	3	3	14	central	canonical	canonical	0.615
248.000	1.000	structured	3	3	16	central	canonical	canonical	0.641
250.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.707
254.000	1.000	structured	4	3	14	central	canonical	canonical	0.610
256.000	1.000	structured	4	3	15	central	canonical	canonical	0.673
258.000	1.000	structured	4	3	16	central	canonical	canonical	0.695
264.000	1.000	structured	4	3	12	central	canonical	canonical	0.769
268.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.823
274.000	1.000	structured	4	3	13	central	canonical	canonical	0.636
278.000	1.000	structured	4	3	12	central	canonical	canonical	0.617
280.000	1.000	structured	4	3	14	central	canonical	canonical	0.604
284.000	1.000	structured	4	3	12	central	rotated	rotated	0.845
290.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.680
296.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.702
298.000	1.000	structured	4	1	21	central	canonical	canonical	0.666
302.000	1.000	structured	4	1	19	central	canonical	canonical	0.674
306.000	1.000	structured	4	1	21	central	rotated	rotated	0.723
310.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.632
316.000	1.000	structured	4	1	19	central	canonical	canonical	0.838
322.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.651
326.000	1.000	structured	4	1	21	central	canonical	canonical	0.727
328.000	1.000	structured	4	1	20	central	canonical	canonical	0.604
