onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	6	central	canonical	canonical	0.982
8.000	1.000	structured	1	2	5	central	canonical	canonical	0.625
14.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.696
20.000	1.000	structured	1	2	7	central	canonical	canonical	0.672
26.000	1.000	structured	1	2	9	central	canonical	canonical	0.805
30.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.604
32.000	1.000	structured	1	2	7	central	canonical	canonical	0.605
34.000	1.000	structured	1	2	5	central	canonical	canonical	0.637
40.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.624
44.000	1.000	structured	1	2	7	central	canonical	canonical	0.607
46.000	1.000	structured	1	2	5	central	canonical	canonical	0.637
48.000	1.000	structured	1	2	9	central	canonical	canonical	0.630
54.000	1.000	structured	1	2	7	central	canonical	canonical	0.595
56.000	1.000	structured	1	2	8	central	canonical	canonical	0.687
60.000	1.000	structured	1	2	7	central	rotated	rotated	0.736
62.000	1.000	structured	1	2	5	central	canonical	canonical	0.622
66.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.659
68.000	1.000	structured	1	2	8	central	canonical	canonical	0.646
72.000	1.000	structured	1	2	6	central	canonical	canonical	0.665
78.000	1.000	structured	1	2	9	central	canonical	canonical	0.662
80.000	1.000	structured	1	2	7	central	canonical	canonical	0.637
86.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.658
88.000	1.000	structured	2	2	5	central	canonical	canonical	0.630
94.000	1.000	structured	2	2	9	central	canonical	canonical	0.592
98.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.610
104.000	1.000	structured	2	2	6	central	canonical	canonical	0.664
108.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.606
114.000	1.000	structured	2	2	6	central	rotated	rotated	0.794
120.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.645
122.000	1.000	structured	2	2	7	central	canonical	canonical	0.642
124.000	1.000	structured	2	2	8	central	canonical	canonical	0.663
130.000	1.000	structured	2	2	5	central	canonical	canonical	0.623
134.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.593
138.000	1.000	structured	2	2	9	central	canonical	canonical	0.597
140.000	1.000	structured	2	2	7	central	canonical	canonical	0.639
144.000	1.000	structured	2	2	9	central	rotated	rotated	0.734
148.000	1.000	structured	2	2	7	central	rotated	rotated	0.731
154.000	1.000	structured	2	2	8	central	canonical	canonical	0.694
156.000	1.000	structured	2	2	7	central	rotated	rotated	0.765
158.000	1.000	structured	2	2	9	central	canonical	canonical	0.682
160.000	1.000	structured	2	2	8	central	canonical	canonical	0.639
166.000	1.000	structured	2	2	5	central	canonical	canonical	0.607
170.000	1.000	scrambled	3	1	2	central	canonical	canonical	0.636
172.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.674
178.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.614
182.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.630
188.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.778
194.000	1.000	scrambled	3	3	17	boundary	canonical	canonical	0.694
200.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.649
202.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.642
204.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.740
206.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.690
212.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.631
218.000	1.000	scrambled	3	3	16	central	canonical	canonical	0.690
220.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.736
224.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.631
228.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.663
234.000	1.000	scrambled	3	2	10	boundary	canonical	canonical	0.710
240.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.646
242.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.702
246.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.624
250.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.664
252.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.614
256.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.677
262.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.619
268.000	1.000	structured	4	3	16	central	canonical	canonical	0.602
274.000	1.000	structured	4	3	12	central	canonical	canonical	0.714
278.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.565
282.000	1.000	structured	4	3	12	central	rotated	rotated	0.747
286.000	1.000	structured	4	3	16	central	canonical	canonical	0.648
288.000	1.000	structured	4	3	14	central	canonical	canonical	0.711
294.000	1.000	structured	4	3	15	central	canonical	canonical	0.645
300.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.623
304.000	1.000	structured	4	3	15	central	rotated	rotated	0.888
308.000	1.000	structured	4	3	14	central	canonical	canonical	0.654
314.000	1.000	structured	4	3	13	central	canonical	canonical	0.716
318.000	1.000	structured	4	3	12	central	canonical	canonical	0.717
320.000	1.000	structured	4	3	14	central	canonical	canonical	0.691
322.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.669
328.000	1.000	structured	4	3	16	central	canonical	canonical	0.623
330.000	1.000	structured	4	3	14	central	canonical	canonical	0.663
332.000	1.000	structured	4	3	16	central	rotated	rotated	0.816
338.000	1.000	structured	4	3	13	central	canonical	canonical	0.659
344.000	1.000	structured	4	3	15	central	canonical	canonical	0.654
346.000	1.000	structured	5	3	17	boundary	canonical	canonical	0.795
352.000	1.000	structured	5	1	18	boundary	canonical	canonical	0.621
356.000	1.000	structured	5	1	1	central	canonical	canonical	0.685
360.000	1.000	structured	5	1	20	central	canonical	canonical	0.669
362.000	1.000	structured	5	1	1	central	rotated	rotated	0.891
368.000	1.000	structured	5	1	2	central	canonical	canonical	0.656
372.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.626
374.000	1.000	structured	5	1	21	central	canonical	canonical	0.690
376.000	1.000	structured	5	1	19	central	canonical	canonical	0.723
382.000	1.000	structured	5	1	1	central	canonical	canonical	0.760
388.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.633
394.000	1.000	structured	5	1	19	central	canonical	canonical	0.619
398.000	1.000	structured	5	1	1	central	canonical	canonical	0.616
404.000	1.000	structured	5	1	21	central	canonical	canonical	0.807
408.000	1.000	structured	5	1	1	central	rotated	rotated	0.942
414.000	1.000	structured	5	1	2	central	canonical	canonical	0.705
420.000	1.000	structured	5	1	20	central	canonical	canonical	0.668
424.000	1.000	structured	5	1	21	central	canonical	canonical	0.743
428.000	1.000	structured	5	1	2	central	canonical	canonical	0.683
430.000	1.000	structured	5	1	3	boundary	canonical	canonical	0.605
436.000	1.000	structured	5	1	20	central	canonical	canonical	0.629
440.000	1.000	scrambled	6	3	14	central	canonical	canonical	0.735
444.000	1.000	scrambled	6	2	4	boundary	canonical	canonical	0.686
450.000	1.000	scrambled	6	3	12	central	canonical	canonical	0.647
454.000	1.000	scrambled	6	2	9	central	canonical	canonical	0.747
460.000	1.000	scrambled	6	3	11	boundary	canonical	canonical	0.702
462.000	1.000	scrambled	6	1	20	central	canonical	canonical	0.762
466.000	1.000	scrambled	6	1	2	central	canonical	canonical	0.792
470.000	1.000	scrambled	6	1	3	boundary	canonical	canonical	0.636
472.000	1.000	scrambled	6	2	5	central	canonical	canonical	0.616
474.000	1.000	scrambled	6	1	19	central	canonical	canonical	0.633
476.000	1.000	scrambled	6	3	17	boundary	canonical	canonical	0.616
478.000	1.000	scrambled	6	2	8	central	canonical	canonical	0.670
482.000	1.000	scrambled	6	2	6	central	canonical	canonical	0.596
488.000	1.000	scrambled	6	1	18	boundary	canonical	canonical	0.682
490.000	1.000	scrambled	6	3	15	central	canonical	canonical	0.709
492.000	1.000	scrambled	6	3	13	central	canonical	canonical	0.796
498.000	1.000	scrambled	6	1	1	central	canonical	canonical	0.671
500.000	1.000	scrambled	6	2	10	boundary	canonical	canonical	0.658
502.000	1.000	scrambled	6	3	16	central	canonical	canonical	0.771
508.000	1.000	scrambled	6	2	7	central	canonical	canonical	0.705
514.000	1.000	scrambled	6	1	21	central	canonical	canonical	0.663
520.000	1.000	structured	7	1	19	central	canonical	canonical	0.698
526.000	1.000	structured	7	1	18	boundary	canonical	canonical	0.821
528.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.752
532.000	1.000	structured	7	3	12	central	canonical	canonical	0.686
536.000	1.000	structured	7	3	17	boundary	rotated	rotated	0.927
540.000	1.000	structured	7	3	15	central	canonical	canonical	0.684
544.000	1.000	structured	7	3	16	central	canonical	canonical	0.641
548.000	1.000	structured	7	3	11	boundary	canonical	canonical	0.693
554.000	1.000	structured	7	3	16	central	rotated	rotated	0.777
558.000	1.000	structured	7	3	17	boundary	canonical	canonical	0.659
562.000	1.000	structured	7	1	18	boundary	canonical	canonical	0.648
566.000	1.000	structured	7	1	19	central	canonical	canonical	0.728
568.000	1.000	structured	7	1	18	boundary	rotated	rotated	0.858
572.000	1.000	structured	7	1	21	central	canonical	canonical	0.623
574.000	1.000	structured	7	1	1	central	canonical	canonical	0.777
576.000	1.000	structured	7	1	20	central	canonical	canonical	0.746
580.000	1.000	structured	7	1	21	central	canonical	canonical	0.655
584.000	1.000	structured	7	1	18	boundary	canonical	canonical	0.600
586.000	1.000	structured	7	1	19	central	canonical	canonical	0.642
588.000	1.000	structured	7	1	20	central	canonical	canonical	0.645
590.000	1.000	structured	7	1	19	central	rotated	rotated	0.794
