object	object_type	community	dim1	dim2
1	central	1	8	15
2	central	1	7	15
3	boundary	1	7	16
4	boundary	2	10	2
5	central	2	9	2
6	central	2	5	15
7	central	2	4	15
8	central	2	9	1
9	central	2	9	3
10	boundary	2	2	0
11	boundary	3	0	1
12	central	3	0	0
13	central	3	2	1
14	central	3	1	1
15	central	3	3	0
16	central	3	4	0
17	boundary	3	1	0
18	boundary	1	10	1
19	central	1	10	0
20	central	1	9	0
21	central	1	6	15
