onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	4.308	central	forest	3	12	13	20	1	1	4.308
4.808	2.912	central	desert	2	9	21	5	2	1	2.912
8.219	2.499	central	ocean	1	20	21	9	1	2	2.499
11.218	3.231	boundary1	desert	2	4	3	5	2	1	3.231
14.949	1.795	central	desert	2	8	16	5	2	2	1.795
17.244	1.432	central	forest	3	14	19	15	2	1	1.432
19.176	5.388	central	forest	3	15	16	2	1	1	5.388
25.064	3.029	central	ocean	1	2	13	20	2	2	3.029
28.592	2.908	central	ocean	1	19	21	15	1	2	2.908
32.001	3.600	central	forest	3	13	14	1	1	1	3.600
36.101	3.521	boundary1	ocean	1	18	17	21	2	1	3.521
40.122	1.387	boundary2	forest	3	11	6	17	2	1	1.387
42.009	1.788	central	desert	2	5	20	6	2	2	1.788
44.297	2.000	boundary1	forest	3	11	10	13	2	1	2.000
46.797	1.763	central	forest	3	12	6	15	2	2	1.763
49.060	2.942	central	ocean	1	21	2	14	1	1	2.942
52.502	2.630	central	desert	2	6	8	13	1	1	2.630
55.632	1.798	boundary1	forest	3	17	15	18	1	2	1.798
57.930	2.913	boundary1	ocean	1	3	19	4	1	1	2.913
61.343	2.446	central	forest	3	15	13	9	1	1	2.446
64.289	2.292	central	forest	3	16	14	5	1	1	2.292
67.081	2.266	central	desert	2	7	9	15	1	1	2.266
69.847	1.512	boundary1	desert	2	10	7	11	1	2	1.512
71.859	1.961	central	ocean	1	19	6	20	2	1	1.961
74.320	2.075	central	ocean	1	1	7	2	2	1	2.075
76.896	2.684	boundary2	desert	2	4	20	10	2	1	2.684
80.080	2.846	boundary2	forest	3	17	11	19	1	1	2.846
83.426	2.392	central	desert	2	8	9	2	1	2	2.392
86.318	2.742	boundary2	ocean	1	3	9	18	2	1	2.742
89.560	1.548	central	ocean	1	1	19	12	1	1	1.548
91.607	2.050	central	desert	2	7	19	8	2	2	2.050
94.157	3.067	central	forest	3	16	21	12	2	2	3.067
97.724	2.232	central	forest	3	13	7	16	2	2	2.232
100.456	2.326	central	desert	2	9	14	6	2	2	2.326
103.282	1.363	central	ocean	1	2	5	19	2	2	1.363
105.145	2.552	boundary2	ocean	1	18	3	14	1	2	2.552
108.197	1.794	boundary2	desert	2	10	4	12	1	2	1.794
110.492	3.732	central	ocean	1	20	1	16	1	2	3.732
114.723	2.649	central	desert	2	6	1	7	2	2	2.649
117.873	2.071	central	forest	3	14	8	12	2	2	2.071
120.444	2.169	central	desert	2	5	7	12	1	1	2.169
123.113	2.548	central	ocean	1	21	1	8	1	1	2.548
